,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Major Group,ISCO Minor Code (TR),"Match Score (Exact = 1, Similar = 2) ",Matched to title instead of direct title,He/She is a <occupation>. / O bir <meslek>.,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,
51-4032,51,4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Drill Press Operator for Metal,7223.45,7,Metal Matkap Tezgahı Operatörü ,1,,O bir metal matkap tezgahı operatörü.,O çok iyi bir metal matkap tezgahı operatörü.,O iyi bir metal matkap tezgahı operatörü.,O kötü bir metal matkap tezgahı operatörü.,O çok kötü bir metal matkap tezgahı operatörü.
51-4032,51,4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Reaming Machine Operator for Plastic,7523.15,7,Rayba Makinesi Operatörü,1,,O bir rayba makinesi operatörü.,O çok iyi bir rayba makinesi operatörü.,O iyi bir rayba makinesi operatörü.,O kötü bir rayba makinesi operatörü.,O çok kötü bir rayba makinesi operatörü.
51-4034,51,4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,7225.04,7,Üniversal Torna Tezgahı Operatörü,1,Y,O bir üniversal torna tezgahı operatörü.,O çok iyi bir üniversal torna tezgahı operatörü.,O iyi bir üniversal torna tezgahı operatörü.,O kötü bir üniversal torna tezgahı operatörü.,O çok kötü bir üniversal torna tezgahı operatörü.
51-4035,51,4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Milling Machine Operator,7223.3,7,Metal Freze Tezgahı Operatörü,1,,O bir metal freze tezgahı operatörü.,O çok iyi bir metal freze tezgahı operatörü.,O iyi bir metal freze tezgahı operatörü.,O kötü bir metal freze tezgahı operatörü.,O çok kötü bir metal freze tezgahı operatörü.
51-4035,51,4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",,8112.1,8,Taş Planya Makinesi Operatörü,1,Y,O bir taş planya makinesi operatörü.,O çok iyi bir taş planya makinesi operatörü.,O iyi bir taş planya makinesi operatörü.,O kötü bir taş planya makinesi operatörü.,O çok kötü bir taş planya makinesi operatörü.
51-4051,51,4051,Metal-Refining Furnace Operators and Tenders,Electric Arc Furnace Operator,3135.04,3,Ark Ocağı Operatörü,1,,O bir ark ocağı operatörü.,O çok iyi bir ark ocağı operatörü.,O iyi bir ark ocağı operatörü.,O kötü bir ark ocağı operatörü.,O çok kötü bir ark ocağı operatörü.
51-4051,51,4051,Metal-Refining Furnace Operators and Tenders,Smelter Operator,3117.27,3,izabe Teknisyeni,2,,O bir izabe teknisyeni.,O çok iyi bir izabe teknisyeni.,O iyi bir izabe teknisyeni.,O kötü bir izabe teknisyeni.,O çok kötü bir izabe teknisyeni.
51-4052,51,4052,"Pourers and Casters, Metal",Ingot Caster,8121.5,8,ingot Dökümcüsü,1,,O bir ingot dökümcüsü.,O çok iyi bir ingot dökümcüsü.,O iyi bir ingot dökümcüsü.,O kötü bir ingot dökümcüsü.,O çok kötü bir ingot dökümcüsü.
51-4052,51,4052,"Pourers and Casters, Metal",,8121.83,8,Metal Dökümcüsü,1,Y,O bir metal dökümcüsü.,O çok iyi bir metal dökümcüsü.,O iyi bir metal dökümcüsü.,O kötü bir metal dökümcüsü.,O çok kötü bir metal dökümcüsü.
51-4052,51,4052,"Pourers and Casters, Metal",,7211.12,7,Metal Dökücü,1,Y,O bir metal dökücü.,O çok iyi bir metal dökücü.,O iyi bir metal dökücü.,O kötü bir metal dökücü.,O çok kötü bir metal dökücü.
51-4072,51,4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",,7211.14,7,Makine ile Maça Yapıcı,1,Y,O bir makine ile maça yapıcı.,O çok iyi bir makine ile maça yapıcı.,O iyi bir makine ile maça yapıcı.,O kötü bir makine ile maça yapıcı.,O çok kötü bir makine ile maça yapıcı.
51-4072,51,4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",,8121.38,8,Pres Döküm Makinesi Operatörü,1,Y,O bir pres döküm makinesi operatörü.,O çok iyi bir pres döküm makinesi operatörü.,O iyi bir pres döküm makinesi operatörü.,O kötü bir pres döküm makinesi operatörü.,O çok kötü bir pres döküm makinesi operatörü.
51-4072,51,4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Compression Molding Machine Operator,8121.01,8,Basınçlı Döküm Makinesi Operatörü,1,,O bir basınçlı döküm makinesi operatörü.,O çok iyi bir basınçlı döküm makinesi operatörü.,O iyi bir basınçlı döküm makinesi operatörü.,O kötü bir basınçlı döküm makinesi operatörü.,O çok kötü bir basınçlı döküm makinesi operatörü.
51-4111,51,4111,Tool and Die Makers,Metal Gauge Maker,7222.01,7,Mastar Yapıcı,2,,O bir mastar yapıcı.,O çok iyi bir mastar yapıcı.,O iyi bir mastar yapıcı.,O kötü bir mastar yapıcı.,O çok kötü bir mastar yapıcı.
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Aluminum Welder,7212.41,7,Alüminyum Kaynakçısı,1,,O bir alüminyum kaynakçısı.,O çok iyi bir alüminyum kaynakçısı.,O iyi bir alüminyum kaynakçısı.,O kötü bir alüminyum kaynakçısı.,O çok kötü bir alüminyum kaynakçısı.
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Arc Welder,7212.31,7,Ark Kaynakçısı,1,,O bir ark kaynakçısı.,O çok iyi bir ark kaynakçısı.,O iyi bir ark kaynakçısı.,O kötü bir ark kaynakçısı.,O çok kötü bir ark kaynakçısı.
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Brazer,7212.09,7,Pirinç Kaynakçısı,1,,O bir pirinç kaynakçısı.,O çok iyi bir pirinç kaynakçısı.,O iyi bir pirinç kaynakçısı.,O kötü bir pirinç kaynakçısı.,O çok kötü bir pirinç kaynakçısı.
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Pipe Welder,7212.18,7,Boru Kaynakçısı,1,,O bir boru kaynakçısı.,O çok iyi bir boru kaynakçısı.,O iyi bir boru kaynakçısı.,O kötü bir boru kaynakçısı.,O çok kötü bir boru kaynakçısı.
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Silver Solderer,7212.03,7,Gümüş Kaynakçısı,1,,O bir gümüş kaynakçısı.,O çok iyi bir gümüş kaynakçısı.,O iyi bir gümüş kaynakçısı.,O kötü bir gümüş kaynakçısı.,O çok kötü bir gümüş kaynakçısı.
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Sub Arc Operator,7212.27,7,Toz Altı Kaynak Operatörü,2,,O bir toz altı kaynak operatörü.,O çok iyi bir toz altı kaynak operatörü.,O iyi bir toz altı kaynak operatörü.,O kötü bir toz altı kaynak operatörü.,O çok kötü bir toz altı kaynak operatörü.
51-4122,51,4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Ultrasonic Welding Machine Operator,8142.45,8,Ultrasonik Kaynak Makinesi Operatörü,1,,O bir ultrasonik kaynak makinesi operatörü.,O çok iyi bir ultrasonik kaynak makinesi operatörü.,O iyi bir ultrasonik kaynak makinesi operatörü.,O kötü bir ultrasonik kaynak makinesi operatörü.,O çok kötü bir ultrasonik kaynak makinesi operatörü.
51-4122,51,4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Welding Machine Operator,7212.33,7,Kaynak Operatörü,1,,O bir kaynak operatörü.,O çok iyi bir kaynak operatörü.,O iyi bir kaynak operatörü.,O kötü bir kaynak operatörü.,O çok kötü bir kaynak operatörü.
51-4191,51,4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Heat Treater Apprentice,3117.28,3,Isıl işlem Teknisyeni,2,,O bir isıl işlem teknisyeni.,O çok iyi bir isıl işlem teknisyeni.,O iyi bir isıl işlem teknisyeni.,O kötü bir isıl işlem teknisyeni.,O çok kötü bir isıl işlem teknisyeni.
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Anodizer,8122.22,8,Eloksal Kaplama işçisi,1,,O bir eloksal kaplama işçisi.,O çok iyi bir eloksal kaplama işçisi.,O iyi bir eloksal kaplama işçisi.,O kötü bir eloksal kaplama işçisi.,O çok kötü bir eloksal kaplama işçisi.
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Chrome Plater,8122.24,8,Krom Kaplama işçisi,1,,O bir krom kaplama işçisi.,O çok iyi bir krom kaplama işçisi.,O iyi bir krom kaplama işçisi.,O kötü bir krom kaplama işçisi.,O çok kötü bir krom kaplama işçisi.
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Galvanizer,8122.07,8,Galvanizci ,1,,O bir galvanizci.,O çok iyi bir galvanizci.,O iyi bir galvanizci.,O kötü bir galvanizci.,O çok kötü bir galvanizci.
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Plater,8122.16,8,Metal Kaplamacı,1,,O bir metal kaplamacı.,O çok iyi bir metal kaplamacı.,O iyi bir metal kaplamacı.,O kötü bir metal kaplamacı.,O çok kötü bir metal kaplamacı.
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Spraying Machine Operator,8122.17,8,Metal Püskürtücü,1,,O bir metal püskürtücü.,O çok iyi bir metal püskürtücü.,O iyi bir metal püskürtücü.,O kötü bir metal püskürtücü.,O çok kötü bir metal püskürtücü.
51-4194,51,4194,"Tool Grinders, Filers, and Sharpeners",Tool Sharpener,7224.04,7,Alet Bilemecisi,1,,O bir alet bilemecisi.,O çok iyi bir alet bilemecisi.,O iyi bir alet bilemecisi.,O kötü bir alet bilemecisi.,O çok kötü bir alet bilemecisi.
51-4199,51,4199,"Metal Workers and Plastic Workers, All Other",Electrical Discharge Machine Setup Operator,8122.25,8,Elektro Erozyon Tezgah işçisi,2,,O bir elektro erozyon tezgah işçisi.,O çok iyi bir elektro erozyon tezgah işçisi.,O iyi bir elektro erozyon tezgah işçisi.,O kötü bir elektro erozyon tezgah işçisi.,O çok kötü bir elektro erozyon tezgah işçisi.
51-4199,51,4199,"Metal Workers and Plastic Workers, All Other",Metal Rivet Machine Operator,7223.44,7,Metal inşaat Makine Perçincisi,2,,O bir metal inşaat makine perçincisi.,O çok iyi bir metal inşaat makine perçincisi.,O iyi bir metal inşaat makine perçincisi.,O kötü bir metal inşaat makine perçincisi.,O çok kötü bir metal inşaat makine perçincisi.
51-5111,51,5111,Prepress Technicians and Workers,Photoengraver,7321.14,7,Fotogravürcü,1,,O bir fotogravürcü.,O çok iyi bir fotogravürcü.,O iyi bir fotogravürcü.,O kötü bir fotogravürcü.,O çok kötü bir fotogravürcü.
51-5111,51,5111,Prepress Technicians and Workers,,3119.18,3,Baskı Öncesi Operatörü,1,Y,O bir baskı öncesi operatörü.,O çok iyi bir baskı öncesi operatörü.,O iyi bir baskı öncesi operatörü.,O kötü bir baskı öncesi operatörü.,O çok kötü bir baskı öncesi operatörü.
51-5111,51,5111,Prepress Technicians and Workers,Type Setter,7321.02,7,Dizgici,1,,O bir dizgici.,O çok iyi bir dizgici.,O iyi bir dizgici.,O kötü bir dizgici.,O çok kötü bir dizgici.
51-5112,51,5112,Printing Press Operators,Digital Press Operator,7322.5,7,Dijital Baskı Operatörü,1,,O bir dijital baskı operatörü.,O çok iyi bir dijital baskı operatörü.,O iyi bir dijital baskı operatörü.,O kötü bir dijital baskı operatörü.,O çok kötü bir dijital baskı operatörü.
51-5112,51,5112,Printing Press Operators,Flexographic Press Operator,7322.17,7,Flekso Baskı Makinesi Operatörü,1,,O bir flekso baskı makinesi operatörü.,O çok iyi bir flekso baskı makinesi operatörü.,O iyi bir flekso baskı makinesi operatörü.,O kötü bir flekso baskı makinesi operatörü.,O çok kötü bir flekso baskı makinesi operatörü.
51-5112,51,5112,Printing Press Operators,Gravure Press Operator,7322.08,7,Tifdruk Baskı Operatörü,1,,O bir tifdruk baskı operatörü.,O çok iyi bir tifdruk baskı operatörü.,O iyi bir tifdruk baskı operatörü.,O kötü bir tifdruk baskı operatörü.,O çok kötü bir tifdruk baskı operatörü.
51-5112,51,5112,Printing Press Operators,Lithograph Press Operator,7322.34,7,Direkt Litografik Baskıcı,1,,O bir direkt litografik baskıcı.,O çok iyi bir direkt litografik baskıcı.,O iyi bir direkt litografik baskıcı.,O kötü bir direkt litografik baskıcı.,O çok kötü bir direkt litografik baskıcı.
51-5112,51,5112,Printing Press Operators,Offset Press Operator,7322.01,7,Ofset Baskı Operatörü,1,,O bir ofset baskı operatörü.,O çok iyi bir ofset baskı operatörü.,O iyi bir ofset baskı operatörü.,O kötü bir ofset baskı operatörü.,O çok kötü bir ofset baskı operatörü.
51-5112,51,5112,Printing Press Operators,Screen Printing Machine Operator,7322.31,7,Serigraf Baskı Makinesi Operatörü,1,,O bir serigraf baskı makinesi operatörü.,O çok iyi bir serigraf baskı makinesi operatörü.,O iyi bir serigraf baskı makinesi operatörü.,O kötü bir serigraf baskı makinesi operatörü.,O çok kötü bir serigraf baskı makinesi operatörü.
51-5112,51,5112,Printing Press Operators,Screen Printing Press Operator,7322.26,7,Serigrafi Baskı Operatörü,1,,O bir serigrafi baskı operatörü.,O çok iyi bir serigrafi baskı operatörü.,O iyi bir serigrafi baskı operatörü.,O kötü bir serigrafi baskı operatörü.,O çok kötü bir serigrafi baskı operatörü.
51-5112,51,5112,Printing Press Operators,Silk Screen Printer,7322.27,7,ipek Ekran Baskıcı,1,,O bir ipek ekran baskıcı.,O çok iyi bir ipek ekran baskıcı.,O iyi bir ipek ekran baskıcı.,O kötü bir ipek ekran baskıcı.,O çok kötü bir ipek ekran baskıcı.
51-5112,51,5112,Printing Press Operators,Web Offset Press Feeder,7322.38,7,Web Ofset Baskı Yardımcısı,2,,O bir web ofset baskı yardımcısı.,O çok iyi bir web ofset baskı yardımcısı.,O iyi bir web ofset baskı yardımcısı.,O kötü bir web ofset baskı yardımcısı.,O çok kötü bir web ofset baskı yardımcısı.
51-5112,51,5112,Printing Press Operators,Web Press Operator,7322.48,7,Web Ofset Baskı Operatörü,1,,O bir web ofset baskı operatörü.,O çok iyi bir web ofset baskı operatörü.,O iyi bir web ofset baskı operatörü.,O kötü bir web ofset baskı operatörü.,O çok kötü bir web ofset baskı operatörü.
51-5113,51,5113,Print Binding and Finishing Workers,Bindery Folder Operator,7323.07,7,Ciltcilik Katlama Makinesi Operatörü,1,,O bir ciltcilik katlama makinesi operatörü.,O çok iyi bir ciltcilik katlama makinesi operatörü.,O iyi bir ciltcilik katlama makinesi operatörü.,O kötü bir ciltcilik katlama makinesi operatörü.,O çok kötü bir ciltcilik katlama makinesi operatörü.
51-5113,51,5113,Print Binding and Finishing Workers,Bindery Worker,7323.04,7,Mücellit ,1,,O bir mücellit.,O çok iyi bir mücellit.,O iyi bir mücellit.,O kötü bir mücellit.,O çok kötü bir mücellit.
51-5113,51,5113,Print Binding and Finishing Workers,Case Binder Operator,7323.06,7,Kapak Takma Makinesi Operatörü ,1,,O bir kapak takma makinesi operatörü.,O çok iyi bir kapak takma makinesi operatörü.,O iyi bir kapak takma makinesi operatörü.,O kötü bir kapak takma makinesi operatörü.,O çok kötü bir kapak takma makinesi operatörü.
51-5113,51,5113,Print Binding and Finishing Workers,Foil Stamp Operator,7323.1,7,Folyo Uygulamacısı,1,,O bir folyo uygulamacısı.,O çok iyi bir folyo uygulamacısı.,O iyi bir folyo uygulamacısı.,O kötü bir folyo uygulamacısı.,O çok kötü bir folyo uygulamacısı.
51-5113,51,5113,Print Binding and Finishing Workers,Saddle Stitch Operator,7323.08,7,Ciltcilik Forma Dikiş Makinesi Operatörü,1,,O bir ciltcilik forma dikiş makinesi operatörü.,O çok iyi bir ciltcilik forma dikiş makinesi operatörü.,O iyi bir ciltcilik forma dikiş makinesi operatörü.,O kötü bir ciltcilik forma dikiş makinesi operatörü.,O çok kötü bir ciltcilik forma dikiş makinesi operatörü.
51-6011,51,6011,Laundry and Dry-Cleaning Workers,Drycleaner,9121.03,9,Kuru Temizleyici ,1,,O bir kuru temizleyici.,O çok iyi bir kuru temizleyici.,O iyi bir kuru temizleyici.,O kötü bir kuru temizleyici.,O çok kötü bir kuru temizleyici.
51-6011,51,6011,Laundry and Dry-Cleaning Workers,Launderer,9121.01,9,Çamaşırcı,1,,O bir çamaşırcı.,O çok iyi bir çamaşırcı.,O iyi bir çamaşırcı.,O kötü bir çamaşırcı.,O çok kötü bir çamaşırcı.
51-6011,51,6011,Laundry and Dry-Cleaning Workers,Laundry Attendant,8157.01,8,Çamaşırhane Görevlisi,1,,O bir çamaşırhane görevlisi.,O çok iyi bir çamaşırhane görevlisi.,O iyi bir çamaşırhane görevlisi.,O kötü bir çamaşırhane görevlisi.,O çok kötü bir çamaşırhane görevlisi.
51-6011,51,6011,Laundry and Dry-Cleaning Workers,Laundry Operator,5151.12,5,Çamaşırhane Şefi,2,,O bir çamaşırhane şefi.,O çok iyi bir çamaşırhane şefi.,O iyi bir çamaşırhane şefi.,O kötü bir çamaşırhane şefi.,O çok kötü bir çamaşırhane şefi.
51-6011,51,6011,Laundry and Dry-Cleaning Workers,Laundry Worker,8157.08,8,Çamaşırhane ve Kuru Temizleme Sorumlusu,2,,O bir çamaşırhane ve kuru temizleme sorumlusu.,O çok iyi bir çamaşırhane ve kuru temizleme sorumlusu.,O iyi bir çamaşırhane ve kuru temizleme sorumlusu.,O kötü bir çamaşırhane ve kuru temizleme sorumlusu.,O çok kötü bir çamaşırhane ve kuru temizleme sorumlusu.
51-6021,51,6021,"Pressers, Textile, Garment, and Related Materials",Clothes Ironer,9121.05,9,Ütücü,1,,O bir ütücü.,O çok iyi bir ütücü.,O iyi bir ütücü.,O kötü bir ütücü.,O çok kötü bir ütücü.
51-6021,51,6021,"Pressers, Textile, Garment, and Related Materials",Clothes Presser,8157.07,8,Pres Ütücü,1,,O bir pres ütücü.,O çok iyi bir pres ütücü.,O iyi bir pres ütücü.,O kötü bir pres ütücü.,O çok kötü bir pres ütücü.
51-6031,51,6031,Sewing Machine Operators,Carpet Sewing Machine Operator,7318.25,7,Kilim Dokuyucu,2,,O bir kilim dokuyucu.,O çok iyi bir kilim dokuyucu.,O iyi bir kilim dokuyucu.,O kötü bir kilim dokuyucu.,O çok kötü bir kilim dokuyucu.
51-6031,51,6031,Sewing Machine Operators,Embroidery Machine Operator,8152.59,8,Brode Makinesi Operatörü,1,,O bir brode makinesi operatörü.,O çok iyi bir brode makinesi operatörü.,O iyi bir brode makinesi operatörü.,O kötü bir brode makinesi operatörü.,O çok kötü bir brode makinesi operatörü.
51-6031,51,6031,Sewing Machine Operators,Hemming and Tacking Machine Operator,8159.02,8,Reçme Makinesi Operatörü,1,,O bir reçme makinesi operatörü.,O çok iyi bir reçme makinesi operatörü.,O iyi bir reçme makinesi operatörü.,O kötü bir reçme makinesi operatörü.,O çok kötü bir reçme makinesi operatörü.
51-6031,51,6031,Sewing Machine Operators,,8153.08,8,Dikiş Makinesi Operatörü,1,Y,O bir dikiş makinesi operatörü.,O çok iyi bir dikiş makinesi operatörü.,O iyi bir dikiş makinesi operatörü.,O kötü bir dikiş makinesi operatörü.,O çok kötü bir dikiş makinesi operatörü.
51-6041,51,6041,Shoe and Leather Workers and Repairers,Leather Lacer,7533.04,7,Deri Dikici ,1,,O bir deri dikici.,O çok iyi bir deri dikici.,O iyi bir deri dikici.,O kötü bir deri dikici.,O çok kötü bir deri dikici.
51-6041,51,6041,Shoe and Leather Workers and Repairers,Leather Worker,7535.02,7,Deri işçisi,1,,O bir deri işçisi.,O çok iyi bir deri işçisi.,O iyi bir deri işçisi.,O kötü bir deri işçisi.,O çok kötü bir deri işçisi.
51-6041,51,6041,Shoe and Leather Workers and Repairers,Luggage Repairer,7536.27,7,Çanta Tamircisi,1,,O bir çanta tamircisi.,O çok iyi bir çanta tamircisi.,O iyi bir çanta tamircisi.,O kötü bir çanta tamircisi.,O çok kötü bir çanta tamircisi.
51-6041,51,6041,Shoe and Leather Workers and Repairers,Saddle and Harness Maker,7536.2,7,Saraç,1,,O bir saraç.,O çok iyi bir saraç.,O iyi bir saraç.,O kötü bir saraç.,O çok kötü bir saraç.
51-6041,51,6041,Shoe and Leather Workers and Repairers,Saddle Maker,7536.11,7,Eyer Saracı,1,,O bir eyer saracı.,O çok iyi bir eyer saracı.,O iyi bir eyer saracı.,O kötü bir eyer saracı.,O çok kötü bir eyer saracı.
51-6041,51,6041,Shoe and Leather Workers and Repairers,Shoe Repairer,7536.05,7,Ayakkabı Tamircisi,1,,O bir ayakkabı tamircisi.,O çok iyi bir ayakkabı tamircisi.,O iyi bir ayakkabı tamircisi.,O kötü bir ayakkabı tamircisi.,O çok kötü bir ayakkabı tamircisi.
51-6041,51,6041,Shoe and Leather Workers and Repairers,Shoemaker,7536.02,7,Ayakkabı imalatçısı,1,,O bir ayakkabı imalatçısı.,O çok iyi bir ayakkabı imalatçısı.,O iyi bir ayakkabı imalatçısı.,O kötü bir ayakkabı imalatçısı.,O çok kötü bir ayakkabı imalatçısı.
51-6042,51,6042,Shoe Machine Operators and Tenders,Arch Cushion Press Operator,7536.17,7,Taban Presçisi,2,,O bir taban presçisi.,O çok iyi bir taban presçisi.,O iyi bir taban presçisi.,O kötü bir taban presçisi.,O çok kötü bir taban presçisi.
51-6042,51,6042,Shoe Machine Operators and Tenders,Shoe Cementer,8156.1,8,Ayakkabı Monte Makinesi Operatörü,1,,O bir ayakkabı monte makinesi operatörü.,O çok iyi bir ayakkabı monte makinesi operatörü.,O iyi bir ayakkabı monte makinesi operatörü.,O kötü bir ayakkabı monte makinesi operatörü.,O çok kötü bir ayakkabı monte makinesi operatörü.
51-6042,51,6042,Shoe Machine Operators and Tenders,Sole Trimmer,8156.01,8,Ayakkabı Astar Kesme Makinesi Operatörü,1,,O bir ayakkabı astar kesme makinesi operatörü.,O çok iyi bir ayakkabı astar kesme makinesi operatörü.,O iyi bir ayakkabı astar kesme makinesi operatörü.,O kötü bir ayakkabı astar kesme makinesi operatörü.,O çok kötü bir ayakkabı astar kesme makinesi operatörü.
51-6051,51,6051,"Sewers, Hand",Hand Quilter,7534.01,7,Elle Yorgancı,1,,O bir elle yorgancı.,O çok iyi bir elle yorgancı.,O iyi bir elle yorgancı.,O kötü bir elle yorgancı.,O çok kötü bir elle yorgancı.
51-6051,51,6051,"Sewers, Hand",Hand Sewer,7533.1,7,El Dikişçisi,1,,O bir el dikişçisi.,O çok iyi bir el dikişçisi.,O iyi bir el dikişçisi.,O kötü bir el dikişçisi.,O çok kötü bir el dikişçisi.
51-6051,51,6051,"Sewers, Hand",Hand Weaver,7318.02,7,El Dokumacı,1,,O bir el dokumacı.,O çok iyi bir el dokumacı.,O iyi bir el dokumacı.,O kötü bir el dokumacı.,O çok kötü bir el dokumacı.
51-6052,51,6052,"Tailors, Dressmakers, and Custom Sewers",,7531.13,7,Terzi,1,Y,O bir terzi.,O çok iyi bir terzi.,O iyi bir terzi.,O kötü bir terzi.,O çok kötü bir terzi.
51-6052,51,6052,"Tailors, Dressmakers, and Custom Sewers",Alterations Tailor,7531.2,7,Giysi Tadilatçısı,1,,O bir giysi tadilatçısı.,O çok iyi bir giysi tadilatçısı.,O iyi bir giysi tadilatçısı.,O kötü bir giysi tadilatçısı.,O çok kötü bir giysi tadilatçısı.
51-6052,51,6052,"Tailors, Dressmakers, and Custom Sewers",Bridal Gown Fitter,7531.09,7,Gelinlik Terzi,1,,O bir gelinlik terzi.,O çok iyi bir gelinlik terzi.,O iyi bir gelinlik terzi.,O kötü bir gelinlik terzi.,O çok kötü bir gelinlik terzi.
51-6052,51,6052,"Tailors, Dressmakers, and Custom Sewers",Fur Tailor,7531.19,7,Kürk Terzisi,1,,O bir kürk terzisi.,O çok iyi bir kürk terzisi.,O iyi bir kürk terzisi.,O kötü bir kürk terzisi.,O çok kötü bir kürk terzisi.
51-6061,51,6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Cloth Dyer,7318.05,7,Kumaş Boyamacı,1,,O bir kumaş boyamacı.,O çok iyi bir kumaş boyamacı.,O iyi bir kumaş boyamacı.,O kötü bir kumaş boyamacı.,O çok kötü bir kumaş boyamacı.
51-6061,51,6061,Textile Bleaching and Dyeing Machine Operators and Tenders,,3122.39,3,Tekstil Boyacısı,1,Y,O bir tekstil boyacısı.,O çok iyi bir tekstil boyacısı.,O iyi bir tekstil boyacısı.,O kötü bir tekstil boyacısı.,O çok kötü bir tekstil boyacısı.
51-6061,51,6061,Textile Bleaching and Dyeing Machine Operators and Tenders,,8154.03,8,Ağartma Makinesi Operatör,1,Y,O bir ağartma makinesi operatör.,O çok iyi bir ağartma makinesi operatör.,O iyi bir ağartma makinesi operatör.,O kötü bir ağartma makinesi operatör.,O çok kötü bir ağartma makinesi operatör.
51-6061,51,6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Yarn Dyer,7318.12,7,Örgü Yünü Boyacı,1,,O bir örgü yünü boyacı.,O çok iyi bir örgü yünü boyacı.,O iyi bir örgü yünü boyacı.,O kötü bir örgü yünü boyacı.,O çok kötü bir örgü yünü boyacı.
51-6062,51,6062,"Textile Cutting Machine Setters, Operators, and Tenders",Cloth Cutter,7532.16,7,Kumaş Kesme Makinesi işçisi,1,,O bir kumaş kesme makinesi işçisi.,O çok iyi bir kumaş kesme makinesi işçisi.,O iyi bir kumaş kesme makinesi işçisi.,O kötü bir kumaş kesme makinesi işçisi.,O çok kötü bir kumaş kesme makinesi işçisi.
51-6062,51,6062,"Textile Cutting Machine Setters, Operators, and Tenders",,8181.22,8,Kesme Makinesi Operatörü ,1,Y,O bir kesme makinesi operatörü.,O çok iyi bir kesme makinesi operatörü.,O iyi bir kesme makinesi operatörü.,O kötü bir kesme makinesi operatörü.,O çok kötü bir kesme makinesi operatörü.
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Crochet Machine Operator,8152.32,8,Kroşe Makinesi Operatörü,1,,O bir kroşe makinesi operatörü.,O çok iyi bir kroşe makinesi operatörü.,O iyi bir kroşe makinesi operatörü.,O kötü bir kroşe makinesi operatörü.,O çok kötü bir kroşe makinesi operatörü.
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Jacquard Loom Weaver,8152.28,8,Jakar Tezgahı Dokuyucusu,1,,O bir jakar tezgahı dokuyucusu.,O çok iyi bir jakar tezgahı dokuyucusu.,O iyi bir jakar tezgahı dokuyucusu.,O kötü bir jakar tezgahı dokuyucusu.,O çok kötü bir jakar tezgahı dokuyucusu.
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Knitter Operator,8152.5,8,Örme Operatörü,1,,O bir örme operatörü.,O çok iyi bir örme operatörü.,O iyi bir örme operatörü.,O kötü bir örme operatörü.,O çok kötü bir örme operatörü.
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Knitting Machine Operator,8152.47,8,Örgü Makinesi Operatörü,1,,O bir örgü makinesi operatörü.,O çok iyi bir örgü makinesi operatörü.,O iyi bir örgü makinesi operatörü.,O kötü bir örgü makinesi operatörü.,O çok kötü bir örgü makinesi operatörü.
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Loom Operator,3119.77,3,Dokuma Operatörü,1,,O bir dokuma operatörü.,O çok iyi bir dokuma operatörü.,O iyi bir dokuma operatörü.,O kötü bir dokuma operatörü.,O çok kötü bir dokuma operatörü.
