,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,,1461,1455,1439,1487,1507
49-3041,49,3041,Farm Equipment Mechanics and Service Technicians,Agricultural Equipment Mechanic,7,Tarım Alet Ve Makineleri Bakım Ve Onarımcısı,He's an agricultural equipment and machine maintenance and repair man.,He's a very good agrarian instrument and maintenance of machinery and repair.,He's a good agrarian instrument and repair of machines.,He's a bad farm instrument and repair of machines.,He's a terrible farm instrument and repair of machines.,he,he,he,he,he
49-3041,49,3041,Farm Equipment Mechanics and Service Technicians,Combine Mechanic,7,Biçerdöver Tamircisi,He's a mower.,He's a very good mackerel mechanic.,He's a good mower mechanic.,He's a bad mower.,He's a very bad matcher.,he,he,he,he,he
49-3041,49,3041,Farm Equipment Mechanics and Service Technicians,Tractor Mechanic,7,Traktör Bakım Onarımcısı,He's a tractor maintenance repairman.,He's a very good tractor maintenance repairman.,He's a good tractor maintenance repairman.,He's a bad tractor maintenance repairman.,He's a terrible tractor maintenance repairman.,he,he,he,he,he
49-3043,49,3043,Rail Car Repairers,Rail Car Maintenance Mechanic,7,Raylı Sistem Araçları Mekanik Bakım ve Onarımcısı,He's a rail system car mechanical maintenance and repair guy.,He's a very good rail system car mechanical maintenance and repair guy.,He's a good rail system car mechanical maintenance and repair guy.,It's a bad rail system car mechanical maintenance and repair.,He's a very bad rail system car mechanical maintenance and repair guy.,he,he,he,it,he
49-3051,49,3051,Motorboat Mechanics and Service Technicians,Marine Technician,3,Denizcilik Teknisyeni,He's a marine technician.,He's a very good sailor technician.,He's a good sailor technician.,He's a bad maritime technician.,He's a terrible sailor technician.,he,he,he,he,he
49-3052,49,3052,Motorcycle Mechanics,Motorcycle Repairer,7,Motosiklet Bakım Onarımcısı,He's a motorcycle maintenance repairman.,He's a very good motorcycle maintenance repairman.,He's a good motorcycle maintenance repairman.,He's a bad motorcycle maintenance repairman.,He's a very bad motorcycle maintenance repairman.,he,he,he,he,he
49-3053,49,3053,Outdoor Power Equipment and Other Small Engine Mechanics,Power Wheelchair Mechanic,7,Akülü Tekerlekli Sandalye Tamircisi,He's an electric wheelchair mechanic.,He's a very good lucrative wheelchair mechanic.,He's a good lucrative wheelchair mechanic.,He's a bad-acting wheelchair mechanic.,He's a terrible acrymen wheelchair mechanic.,he,he,he,he,he
49-3091,49,3091,Bicycle Repairers,Bicycle Mechanic,7,Bisiklet Tamircisi,He's a bike mechanic.,He's a very good mechanic.,He's a good bike mechanic.,He's a bad bike mechanic.,He's a terrible bike mechanic.,he,he,he,he,he
49-3093,49,3093,Tire Repairers and Changers,Tire Fixer,7,Otomotiv Lastik Onarımcısı,He's an automotive tire repair guy.,He's a very good automotive tire repair guy.,He's a good automotive tire repair guy.,He's a bad automotive tire repair.,He's a terrible automotive tire repair guy.,he,he,he,he,he
49-3093,49,3093,Tire Repairers and Changers,Tire Mechanic,8,Lastik Makineci,He's a tire maker.,He's a very good tire maker.,He's a good tire maker.,He's a bad tire maker.,He's a terrible tire maker.,he,he,he,he,he
49-3093,49,3093,Tire Repairers and Changers,Tire Mounter,8,Lastik Montaj işçisi,He's a tire assembly worker.,He's a very good tire assembly worker.,He's a good tire assembly worker.,He's a bad tire assembly worker.,He's a very bad tire-mounting worker.,he,he,he,he,he
49-3093,49,3093,Tire Repairers and Changers,Tire Technician,3,Lastik Teknikeri,He's a tire technician.,He's a very good tire technician.,He's a good tire technician.,He's a bad tire technician.,He's a terrible tire technician.,he,he,he,he,he
49-9012,49,9012,"Control and Valve Installers and Repairers, Except Mechanical Door",Electric Meter Installer,7,Elektrik Sayacı Takma Elemanı,He's an electrician nickname.,He's a very good electrician nickname.,He's a good electrician nickname.,He's a bad electrician nickname.,He's a terrible power-counter nickname.,he,he,he,he,he
49-9012,49,9012,"Control and Valve Installers and Repairers, Except Mechanical Door",Gas Meter Installer,8,Vana Montajcısı,He's a valve mounter.,He's a very good valve mount.,He's a good valve mount.,He's a bad valve mount.,He's a terrible valve mount.,he,he,he,he,he
49-9012,49,9012,"Control and Valve Installers and Repairers, Except Mechanical Door",Water Meter Installer,8,Su Sayaç Montaj işçisi,He's a water meter mounting worker.,He's a very good water counter-mounting worker.,He's a good water counter-assembly worker.,He's a bad water counter-assembly worker.,He's a very bad water counter-mounting worker.,he,he,he,he,he
49-9021,49,9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Air Conditioning Service Technician,3,Klima Sistemleri Teknisyeni,He's an air-conditioning technician.,He's a very good technician of air-conditioning systems.,He's a good technician of air conditioning systems.,He's a bad air-conditioning technician.,He's a terrible air-conditioning technician.,he,he,he,he,he
49-9021,49,9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Furnace Converter,3,Konverter Operatör Sorumlusu,He's a curator operator.,He's a very good operator operator.,He's a good operator operator.,He's a bad converter operator.,He's a very bad operator.,he,he,he,he,he
49-9021,49,9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Gas Furnace Installer,7,Isıtma Tesisatçısı,He's a plumber.,He's a very good plumber.,He's a good plumber.,He's a bad plumber.,He's a terrible plumber.,he,he,he,he,he
49-9021,49,9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, Ventilation, and Air Conditioning (HVAC) Mechanic",2,"Isıtma, Havalandırma Ve Soğutma Mühendisi","He's a heating, ventilation and cooling engineer.","He's a very good heating, ventilation and cooling engineer.","He's a good heating, ventilation and cooling engineer.","He's a bad heating, ventilation and cooling engineer.","He's a terrible heating, air conditioning and cooling engineer.",he,he,he,he,he
49-9021,49,9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Oil Burner Repairer,7,Brülör Bakım Ve Onarımcısı,He's a burner maintenance and repair guy.,"She's a very good recovering, burner.",He's a good burner maintenance and repairman.,He's a bad burner maintenance and repairman.,He's a terrible burner maintenance and repair guy.,he,she,he,he,he
49-9031,49,9031,Home Appliance Repairers,Certified Appliance Service Technician,3,Elektrikli Ev Aletleri Teknik Servis Teknisyeni,He's an electrified household appliances tech.,He's a very good electrician home appliances tech.,He's a good electric home appliances tech.,He's a bad electrical appliances tech.,He's a terrible electrical appliances tech.,he,he,he,he,he
49-9031,49,9031,Home Appliance Repairers,Electric Stove Installer,7,Elektrikli Ev Aletleri Bakım ve Tamircisi,He's an electrical appliances maintenance and mechanic.,He's a very good household appliances maintenance and mechanic.,He's a good household appliances maintenance and mechanic.,He's a bad electric appliance maintenance and mechanic.,He's a terrible electrical appliances maintenance and mechanic.,he,he,he,he,he
49-9044,49,9044,Millwrights,Construction Millwright,8,Değirmen işçisi,He's a mill worker.,He's a very good mill worker.,He's a good mill worker.,He's a bad mill worker.,He's a terrible mill worker.,he,he,he,he,he
49-9051,49,9051,Electrical Power-Line Installers and Repairers,Electrical High Tension Tester,3,Yüksek Gerilim Teçhizatı Test Elemanı,He's a high-voltage equipment test guy.,He's a very good high-voltage equipment test guy.,He's a good high-voltage equipment test guy.,He's a bad high-voltage test guy.,He's a very bad high-voltage test guy.,he,he,he,he,he
49-9051,49,9051,Electrical Power-Line Installers and Repairers,Electrical Lineworker,7,Elektrik Direği Dikim işçisi,He's an electric pole planner.,He's a very good electric pole planner.,He's a good electric pole planner.,He's a bad electric pole planner.,He's a very bad electric pole planner.,he,he,he,he,he
49-9052,49,9052,Telecommunications Line Installers and Repairers,Telephone Cable Splicer,7,Telefon Hat Çekici,He's a phone-line charmer.,He's a very good phone-line hammer.,He's a good phone-line hammer.,He's a bad phone-line hammer.,He's a very bad phone-line hammer.,he,he,he,he,he
49-9061,49,9061,Camera and Photographic Equipment Repairers,Camera Repairer,7,Fotoğraf Makinesi Ve Video Kamera Tamircisi,He's a camera and a video camera mechanic.,He's a very good camera and a video camera mechanic.,He's a good camera and a video camera mechanic.,He's a bad camera and a video camera mechanic.,He's a terrible camera and a video camera mechanic.,he,he,he,he,he
49-9062,49,9062,Medical Equipment Repairers,Biomedical Electronics Technician,3,Tıp Elektroniği Teknisyeni,He's a medical electronics technician.,He's a very good medical electronics technician.,He's a good medical electronics technician.,He's a bad medical electronics technician.,He's a terrible medical electronics technician.,he,he,he,he,he
49-9062,49,9062,Medical Equipment Repairers,Biomedical Equipment Technician,3,Biyomedikal Cihaz Teknolojileri Teknisyeni,He's a biomedical device tech.,He's a very good biomedical device tech.,He's a good biomedical device tech.,He's a bad biomedical device tech.,He's a terrible biomedical device tech.,he,he,he,he,he
49-9062,49,9062,Medical Equipment Repairers,Surgical Instrument Mechanic,3,Tıbbi Cihaz Üretimi Teknisyeni,He's a medical device-making technician.,He's a very good medical device-making technician.,He's a good medical equipment tech.,He's a bad medical equipment tech.,He's a very bad medical device-making technician.,he,he,he,he,he
49-9063,49,9063,Musical Instrument Repairers and Tuners,Accordion Repairer,7,Müzik Aletleri Akortçusu,He's a musical instruments tuner.,He's a very good musical instruments tuner.,He's a good musical instruments tuner.,He's a bad musical instruments tuner.,He's a terrible musical instruments tuner.,he,he,he,he,he
49-9063,49,9063,Musical Instrument Repairers and Tuners,Band Instrument Repair Technician,7,Müzik Aletleri Tamircisi,He's a musical instrument mechanic.,He's a very good mechanic.,He's a good mechanic.,He's a bad instrument mechanic.,He's a terrible mechanic.,he,he,he,he,he
49-9063,49,9063,Musical Instrument Repairers and Tuners,Guitar Builder,7,Klasik Gitar Yapımcısı,He's a classic guitar producer.,He's a very good classical guitar producer.,He's a good classical guitar producer.,He's a bad classical guitar producer.,He's a terrible classic guitar producer.,he,he,he,he,he
49-9063,49,9063,Musical Instrument Repairers and Tuners,Piano Tuner,7,Piyano Akortçusu,She's a piano tuner.,She's a very good piano tuner.,She's a good piano tuner.,She's a bad piano tuner.,She's a terrible piano tuner.,she,she,she,she,she
49-9063,49,9063,Musical Instrument Repairers and Tuners,Violin Repairer,7,Keman Tamircisi,He's a violin mechanic.,He's a very good violin mechanic.,He's a good violin mechanic.,He's a bad violin mechanic.,He's a terrible violin mechanic.,he,he,he,he,he
49-9064,49,9064,Watch and Clock Repairers,Clock Repair Technician,7,Saat Tamircisi,He's a time mechanic.,He's a very good time mechanic.,He's a good time mechanic.,He's a bad time mechanic.,He's a very bad time mechanic.,he,he,he,he,he
49-9064,49,9064,Watch and Clock Repairers,Clockmaker,7,Saat imalat işçisi,He's a clock maker.,He's a very good time manufacturing worker.,He's a good time manufacturing worker.,He's a bad time-maker.,He's a terrible time-maker.,he,he,he,he,he
49-9069,49,9069,"Precision Instrument and Equipment Repairers, All Other",Gyroscope Repairer,7,Hassas Ve Dakik Aletler Tamircisi,He's a sensitive and punctual tool mechanic.,"He's a very good, sensitive, punctual device mechanic.",He's a good delicate and punctual apparatus mechanic.,He's a bad sensitive and punctual device mechanic.,He's a very bad sensitive and punctual device mechanic.,he,he,he,he,he
49-9071,49,9071,"Maintenance and Repair Workers, General",Building Maintenance Mechanic,5,Bina Bakımcısı,He's a building keeper.,He's a very good building keeper.,He's a good building keeper.,He's a bad building keeper.,He's a terrible building keeper.,he,he,he,he,he
49-9081,49,9081,Wind Turbine Service Technicians,Wind Energy Mechanic,3,Rüzgâr Güç Sistemi Ustası,He's a wind power system master.,He's a very good wind power system master.,He's a good wind power system master.,He's a bad wind power-system master.,He's a terrible wind power-system master.,he,he,he,he,he
49-9081,49,9081,Wind Turbine Service Technicians,Wind Energy Technician,3,Rüzgar Enerjisi Sistemleri Teknisyeni,He's a technician of wind energy systems.,He's a very good technician of wind energy systems.,He's a good technician of wind energy systems.,He's a bad technician of wind energy systems.,He's a terrible technician of wind energy systems.,he,he,he,he,he
49-9081,49,9081,Wind Turbine Service Technicians,Wind Turbine Mechanic,7,Türbin Mekaniker,He's a turbine mechanic.,He's a very good turbine mechanic.,He's a good turbine mechanic.,He's a mechanic of a bad turbine.,That's a terrible turbine mechanic.,he,he,he,he,that
49-9091,49,9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",Slot Machine Mechanic,7,Bahis Makineleri Tamircisi,He's a betting mechanic.,He's a very good betting mechanic.,He's a good bet mechanic.,He's a bad bet mechanic.,He's a terrible bookmaker.,he,he,he,he,he
49-9092,49,9092,Commercial Divers,Scuba Diver,7,Dalgıç ,He's a diver.,He's a very good diver.,He's a good diver.,He's a bad diver.,He's a terrible diver.,he,he,he,he,he
49-9092,49,9092,Commercial Divers,Underwater Welder,7,Sualtı Kaynakçısı,He's an underwater welder.,He's a very good underwater welder.,He's a good underwater welder.,He's a bad underwater welder.,He's a terrible underwater welder.,he,he,he,he,he
49-9094,49,9094,Locksmiths and Safe Repairers,Key Maker,7,Anahtarcı,He's a key driver.,He's a very good key player.,He's a good key player.,He's a bad key player.,He's a terrible switcher.,he,he,he,he,he
49-9094,49,9094,Locksmiths and Safe Repairers,Locksmith,7,Çilingir,He's a locksmith.,He's a very good locksmith.,He's a good locksmith.,He's a bad locksmith.,He's a terrible locksmith.,he,he,he,he,he
49-9096,49,9096,Riggers,Acrobatic Rigger,7,Armador işçisi,He's an armador worker.,He's a very good armador worker.,He's a good armador worker.,He's a bad armador worker.,He's a terrible armador worker.,he,he,he,he,he
49-9097,49,9097,Signal and Track Switch Repairers,Railway Signal Technician,2,Raylı Sistemler Sinyalizasyon Yöneticisi,He's a rail system signaling manager.,He's a very good rail system signal manager.,He's a good rail system signaling manager.,He's a bad rail system signaling manager.,He's a very bad rail system signaling manager.,he,he,he,he,he
49-9097,49,9097,Signal and Track Switch Repairers,Train Control Technician,4,Tren Kontrolörü,He's a train controller.,He's a very good train controller.,He's a good train controller.,He's a bad train controller.,He's a terrible train controller.,he,he,he,he,he
49-9098,49,9098,"Helpers--Installation, Maintenance, and Repair Workers",Meter Repairer Helper,7,Sayaç Tamir işçisi,He's a meter repair worker.,He's a very good counter repair worker.,He's a good counter repair worker.,He's a bad meter repair worker.,He's a very bad counter repair worker.,he,he,he,he,he
49-9099,49,9099,"Installation, Maintenance, and Repair Workers, All Other",Gunsmith,7,Tüfekçi,He's a shotgun.,He's a very good shooter.,He's a good shooter.,He's a bad shooter.,He's a terrible shotgun.,he,he,he,he,he
49-9099,49,9099,"Installation, Maintenance, and Repair Workers, All Other",Hand-Woven Carpet and Rug Mender,7,Halı Onarıcı,It's a carpet repairman.,That's a very good carpet repair.,He's a good carpet repairman.,He's a bad carpet repair.,It's a very bad carpet repair.,it,that,he,he,it
51-1011,51,1011,First-Line Supervisors of Production and Operating Workers,Assembly Line Supervisor,1,Üretim Müdürü,He's a production manager.,He's a very good production manager.,He's a good production manager.,He's a bad production manager.,He's a very bad production manager.,he,he,he,he,he
51-1011,51,1011,First-Line Supervisors of Production and Operating Workers,Assembly Supervisor,1,işletme Müdürü,He's a business manager.,He's a very good business manager.,He's a good business manager.,He's a bad business manager.,He's a very bad business manager.,he,he,he,he,he
51-1011,51,1011,First-Line Supervisors of Production and Operating Workers,Printing Supervisor,1,Matbaa Yöneticisi,He's a printing press manager.,He's a very good print manager.,He's a good print manager.,He's a bad print manager.,He's a terrible print manager.,he,he,he,he,he
51-2011,51,2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Aircraft Fuselage Framer,7,Uçak Gövdesi Montör,It's a fuselage montor.,He's a very good aircraft body montor.,That's a good fuselage monker.,That's a bad fuselage monteur.,That's a terrible fuselage monteur.,it,he,that,that,that
51-2021,51,2021,"Coil Winders, Tapers, and Finishers",Coil Winder,8,Bobin Sarıcı,He's a coil wrapper.,He's a very good coil wrapper.,He's a good coil wrapper.,He's a bad coil wrapper.,He's a terrible coil wrapper.,he,he,he,he,he
51-2021,51,2021,"Coil Winders, Tapers, and Finishers",Rotor Coil Taper,9,Rotor bobini sarma işçisi,He's a rotor coil-wrapper.,He's a very good rotor-coil worker.,He's a good rotor-coil handler.,He's a bad rotor-coil handyman.,He's a very bad rotor-coil worker.,he,he,he,he,he
51-2022,51,2022,Electrical and Electronic Equipment Assemblers,Battery Builder,8,Pil imal işçisi,He's a battery maker.,He's a very good battery maker.,He's a good battery maker.,He's a bad battery maker.,He's a very bad battery maker.,he,he,he,he,he
51-2022,51,2022,Electrical and Electronic Equipment Assemblers,Computer Assembler,7,Bilgisayar Montörü,It's a computer monitor.,He's a very good computer-assembler.,It's a good computer monitor.,He's a bad computer-monker.,It's a very bad computer monitor.,it,he,it,he,it
51-2022,51,2022,Electrical and Electronic Equipment Assemblers,Electronic Assembler,7,Elektronik Montörü,It's an electronic assembler.,It's a very good electronic assembler.,It's a good electronic assembler.,It's a bad electronic assembler.,It's a very bad electronic assembler.,it,it,it,it,it
51-2022,51,2022,Electrical and Electronic Equipment Assemblers,Transformer Assembler,7,Transformatör Elektrik Montörü,It's a transformer electric power monitor.,It's a very good transformer power-mover.,That's a good transformer power-mover.,It's a bad transformer power-mover.,It's a very bad transformer power-mover.,it,it,that,it,it
51-2023,51,2023,Electromechanical Equipment Assemblers,Electromechanical Assembler,8,Elektro-Mekanik Montajcısı,He's an electro-mechanical implant.,He's a very good electro-mechanical assembler.,He's a good electro-mechanical assembler.,He's a bad electro-mechanical assembler.,He's a terrible electro-mechanical assembler.,he,he,he,he,he
51-2023,51,2023,Electromechanical Equipment Assemblers,Programmable Logic Controller Assembler,7,Programlanabilir Lojik Kontrol (PLC) işçisi,He's a programmable logical control (plc) worker.,He's a very good programmable logical control (plc) worker.,He's a good programmable logical control (plc) worker.,He's a bad programmable logical control (plc) worker.,He's a very bad programmable logical control (plc) worker.,he,he,he,he,he
51-2031,51,2031,Engine and Other Machine Assemblers,Aircraft Engine Assembler,8,Uçak Motorları Montör,He's an airplane engine montor.,He's a very good aircraft engine montor.,He's a good airplane engine montor.,"That's a bad plane engine, montor.","That's a terrible airplane engine, montor.",he,he,he,that,that
51-2031,51,2031,Engine and Other Machine Assemblers,Generator Assembler,7,Jeneratör Tamircisi,He's a generator mechanic.,He's a very good generator mechanic.,He's a good generator mechanic.,He's a bad generator mechanic.,He's a terrible generator mechanic.,he,he,he,he,he
51-2031,51,2031,Engine and Other Machine Assemblers,Sewing Machine Assembler,7,Dikiş Makineleri Montör,He's a sewing machine monker.,He's a very good sewing machine monteur.,He's a good sewing machine monker.,He's a bad sewing machine monteur.,He's a terrible sewing machine monteur.,he,he,he,he,he
51-2031,51,2031,Engine and Other Machine Assemblers,Truck Transmission Builder,8,Makine Montaj işçisi,He's a machine assembly worker.,He's a very good machine assembly worker.,He's a good machine assembly worker.,He's a bad machine assembly worker.,He's a terrible machine-mounting worker.,he,he,he,he,he
51-2051,51,2051,Fiberglass Laminators and Fabricators,Fiberglasser,7,Fiberglasçı,He's a fiberglassist.,He's a very good fiberglassist.,He's a good fiberglaster.,He's a bad fiberglaster.,He's a terrible fiberglassist.,he,he,he,he,he
51-2092,51,2092,Team Assemblers,Team Automobile Assembler,8,Otomotiv Montaj işçisi,He's an automotive assembly worker.,He's a very good automotive assembly worker.,He's a good automotive assembly worker.,He's a bad automotive assembly worker.,He's a terrible automotive assembly worker.,he,he,he,he,he
51-2099,51,2099,"Assemblers and Fabricators, All Other",Doll Maker,7,Oyuncak Bebek Yapımcısı,She's a doll maker.,She's a very good doll maker.,She's a good doll maker.,She's a bad doll maker.,She's a terrible doll maker.,she,she,she,she,she
51-3011,51,3011,Bakers,Bagel Maker,7,Fırıncı Ustası,He's a baker's master.,He's a very good baker's master.,He's a good baker's master.,He's a bad baker's master.,He's a terrible baker's master.,he,he,he,he,he
51-3011,51,3011,Bakers,Bread Baker,7,Ekmek Pişirici,She's a bread bapper.,She's a very good bread baker.,She's a good bread bapper.,He's a bad bread bapper.,He's a very bad bread cook.,she,she,she,he,he
51-3011,51,3011,Bakers,Dough Maker,7,Hamurkar,It's a dough.,That's a very good dough.,That's a good dough.,That's a bad dough.,That's a very bad dough.,it,that,that,that,that
51-3011,51,3011,Bakers,Pastry Baker,7,Pasta Ustası,He's a pastry master.,He's a very good pastry master.,He's a good pastry master.,He's a bad pastry master.,He's a terrible pastry master.,he,he,he,he,he
51-3021,51,3021,Butchers and Meat Cutters,Butcher,7,Kasap,He's a butcher.,He's a very good butcher.,That's a good butcher.,That's a bad butcher.,That's a very bad butcher.,he,he,that,that,that
51-3021,51,3021,Butchers and Meat Cutters,Meat Carver,7,Et Kesimcisi,He's a meat cutter.,He's a very good meat cutter.,He's a good meat cutter.,He's a bad meat cutter.,He's a terrible meat slaughter.,he,he,he,he,he
51-3022,51,3022,"Meat, Poultry, and Fish Cutters and Trimmers",Meat Trimmer,7,Et Sıyırıcısı,He's a meat scraper.,He's a very good meat grazer.,He's a good meat grazer.,He's a bad meat grazer.,He's a terrible meatloaf.,he,he,he,he,he
51-3023,51,3023,Slaughterers and Meat Packers,Meat Packer,9,Et paketleme işçisi,He's a meat-packing worker.,He's a very good meat-packing worker.,He's a good meat packaging worker.,He's a bad meat-packing worker.,He's a terrible meat-packing worker.,he,he,he,he,he
51-3023,51,3023,Slaughterers and Meat Packers,Meat Processor,7,Et Ve Et Ürünleri işlemecisi,He's a meat and meat processing operator.,He's a very good producer of meat and meat.,He's a good meat and meat processing operator.,He's a bad meat and meat producer.,He's a terrible producer of meat and meat.,he,he,he,he,he
51-3023,51,3023,Slaughterers and Meat Packers,Poultry Slaughterer,7,Piliç Kesim ve işleme Elemanı,She's a chick cutting and processing.,She's a very good chick cutting and processing.,She's a good chick cutting and processing.,He's a bad chick cutting and processing.,He's a terrible chick cutting and processing guy.,she,she,she,he,he
51-3023,51,3023,Slaughterers and Meat Packers,Shochet,7,Kesimhane işçisi,He's a slaughterhouse worker.,He's a very good slaughterhouse worker.,He's a good slaughterhouse worker.,He's a bad slaughterhouse worker.,He's a terrible slaughterhouse worker.,he,he,he,he,he
51-3023,51,3023,Slaughterers and Meat Packers,Slaughterer,7,Mezbaha Kesim işçisi,He's a slaughter worker.,He's a very good slaughter worker.,He's a good slaughter worker.,He's a bad slaughter worker.,He's a terrible slaughtermaker.,he,he,he,he,he
51-3091,51,3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Coffee Roaster,8,Kahve Kavurucu,It's a coffee boiler.,That's a very good coffee boiler.,That's a good coffee boiler.,That's a bad coffee boiler.,That's a very bad coffee boiler.,it,that,that,that,that
51-3091,51,3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Fish Smoker,7,Balık Tuzlayıcı Ve Fümeci,He's a fish salesman and a wanker.,He's a very good fish salesman and a decoder.,He's a good fish salesman and a wanker.,He's a bad fish salesman and a decoder.,He's a very bad fish salesman and a decoder.,he,he,he,he,he
51-3091,51,3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Food Dehydrator Operator,8,Gıda Maddeleri Kurutucu,It's a food dryer.,That's a very good food dryer.,That's a good food dryer.,It's a bad food dryer.,It's a very bad food dryer.,it,that,that,it,it
51-3091,51,3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Malt House Kiln Operator,8,Malt Fırınlama işçisi,He's a malt baker.,He's a very good malt baker.,He's a good malt baker.,He's a bad malt baker.,He's a terrible malt baker.,he,he,he,he,he
51-3091,51,3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Meat Curer,7,Et Hazırlayıcı,He's a meat-maker.,He's a very good meat maker.,He's a good meat maker.,He is a bad meat maker.,She's a very bad meat-maker.,he,he,he,he,she
51-3091,51,3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Meat Smoker,7,Et Tuzlayıcı Ve Fümeci,He's a meat salesman and a decoder.,He's a very good meat salesman and a decoder.,He's a good meat salesman and a decoder.,He's a bad meat salesman and a decoder.,He's a very bad meat salesman and a decoder.,he,he,he,he,he
51-3091,51,3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Tobacco Drier Operator,7,Tütün Islah işçisi,He's a tobacco juvenile.,He's a very good tobacco recovery worker.,He's a good tobacco recovery worker.,He's a bad tobacco juvenile.,He's a terrible tobacco juvenile.,he,he,he,he,he
51-3092,51,3092,Food Batchmakers,Candy Maker,8,Şeker imal işçisi,He's a sugar maker.,He's a very good sugar maker.,He's a good sugar maker.,He's a bad sugar maker.,He's a terrible sugar maker.,he,he,he,he,he
51-3092,51,3092,Food Batchmakers,Cheese Processor,7,Peynir imal işçisi,He's a cheese maker.,He's a very good cheese maker.,He's a good cheese maker.,He's a bad cheese maker.,He's a terrible cheese maker.,he,he,he,he,he
51-3092,51,3092,Food Batchmakers,Ice Cream Maker,7,Dondurma Üretim Elemanı,He's an ice cream maker.,He's a very good ice cream maker.,He's a good ice cream maker.,He's a bad ice cream maker.,He's a very bad ice cream maker.,he,he,he,he,he
51-3092,51,3092,Food Batchmakers,Pickle Maker,5,Turşucu,She's a pickle.,She's a very good pickle.,She's a good pickle.,She's a bad pickle.,He's a terrible pickle.,she,she,she,she,he
51-3093,51,3093,Food Cooking Machine Operators and Tenders,Food Cooking Machine Operator,8,Sterilize Pişirme Operatörü,It's a sterilized cooking operator.,That's a very good sterilized baking operator.,That's a good sterilized baking operator.,That's a bad sterilized baking operator.,That's a terrible baking operator.,it,that,that,that,that
51-3099,51,3099,"Food Processing Workers, All Other",Olive Pitter,7,Sofralık Zeytin işlemecisi,He's a sophisticated olive operator.,He's a very good eating olive operator.,He's a good vegetable operator.,He's a bad olive operator.,He's a very bad olive operator.,he,he,he,he,he
51-3099,51,3099,"Food Processing Workers, All Other",Yeast Maker,7,Mayacı,She's a swimmer.,She's a very good swimmer.,She's a good swimmer.,She's a bad swimmer.,He's a terrible swimmer.,she,she,she,she,he
51-4021,51,4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Wire Drawing Machine Tender,8,Makine ile Tel Çekme işçisi,He's a wire rider with a machine.,He's a very good machine and a wire-pulling worker.,He's a good machine wire-pulling worker.,He's a wire rider with a bad machine.,He's a very bad machine and a wire-pulling worker.,he,he,he,he,he
51-4022,51,4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Swager Operator,7,Demir Dövme Presi Operatörü,He's an iron tattoo press operator.,He's a very good iron tattoo press operator.,He's a good iron tattoo press operator.,He's a bad iron tattoo press operator.,He's a terrible iron tattoo press operator.,he,he,he,he,he
51-4023,51,4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Sheet Roller Operator,8,Silindir Operatörü,It's a cylinder operator.,That's a very good cylinder operator.,That's a good cylinder operator.,That's a bad cylinder operator.,He's a terrible cylinder operator.,it,that,that,that,he
51-4023,51,4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Steel Roller,8,Çelik Haddeci,He's a steel mill.,He's a very good steel mill.,He's a good steel mill.,He's a bad steel mill.,He's a terrible steel mill.,he,he,he,he,he
51-4031,51,4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Crimping Machine Operator for Metal,8,Pres Makineleri Operatör Yardımcısı,He's a vice operator of pres machines.,He's a very good deputy operator of pres machines.,He's a good deputy operator of pres machines.,He's a bad vice operator of pres machines.,He's a very bad vice operator of pres machines.,he,he,he,he,he
51-4031,51,4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Punch Press Operator,8,Metal Pres Makinesi Operatörü,It's a metal pres operator.,That's a very good metal pres operator.,That's a good metal pres operator.,That's a bad metal pres operator.,That's a very bad metal pres operator.,it,that,that,that,that
51-4032,51,4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Boring Mill Operator for Metal,7,Metal Boring Matkap Tezgahı Operatörü,That's a metal  counter operator.,That's a very good metal  counter.,That's a good metal  counter.,That's a bad metal  counter.,That's a terrible metal  counter.,that,that,that,that,that
