,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),Translation (AWS),,,,,,,,,
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Chrome Plater,8,Krom Kaplama işçisi,He's a chrome-plated worker.,He's a very good chrome-plated worker.,He's a good chrome-plated worker.,He's a bad chrome-plated worker.,He's a bad chrome-plated worker.,he,he,he,he,he
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Galvanizer,8,Galvanizci ,He's a galvanizer.,He's a very good galvanizer.,He's a good galvanizer.,He's a bad galvanizer.,He's a terrible galvanizer.,he,he,he,he,he
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Plater,8,Metal Kaplamacı,He's a metal coatter.,He's a very good metal coatter.,He's a good metal coatter.,He's a bad metal coatter.,He's a very bad metal coatter.,he,he,he,he,he
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Spraying Machine Operator,8,Metal Püskürtücü,It's a metal sprayer.,He's a very good metal sprayer.,He's a good metal sprayer.,He's a bad metal sprayer.,He's a very bad metal sprayer.,it,he,he,he,he
51-4194,51,4194,"Tool Grinders, Filers, and Sharpeners",Tool Sharpener,7,Alet Bilemecisi,He's a tool sharpener.,He's a very good tool sharpener.,He's a good tool sharpener.,He's a bad tool sharpener.,He's a terrible tool sharpener.,he,he,he,he,he
51-4199,51,4199,"Metal Workers and Plastic Workers, All Other",Electrical Discharge Machine Setup Operator,8,Elektro Erozyon Tezgah işçisi,He's an electro-erosion bench worker.,He's a very good electro-erosion bench worker.,He's a good electro-erosion bench worker.,He's a bad electro-erosion bench worker.,He's a very bad electro-erosion bench worker.,he,he,he,he,he
51-4199,51,4199,"Metal Workers and Plastic Workers, All Other",Metal Rivet Machine Operator,7,Metal inşaat Makine Perçincisi,It's a metal construction machine rivet.,He is a very good metal construction machine rivet.,He is a good metal construction machine rivet.,He's a bad metal construction machine rivet.,He's a very bad metal construction machine rivet.,it,he,he,he,he
51-5111,51,5111,Prepress Technicians and Workers,Photoengraver,7,Fotogravürcü,He's a photoengraver.,He's a very good photograver.,He's a good photograver.,He's a bad photoengraver.,He's a terrible photoengraver.,he,he,he,he,he
51-5111,51,5111,Prepress Technicians and Workers,Prepress Stripper,3,Baskı Öncesi Operatörü,He's a pre-press operator.,He's a very good pre-press operator.,He's a good pre-press operator.,He's a bad pre-press operator.,He's a very bad pre-press operator.,he,he,he,he,he
51-5111,51,5111,Prepress Technicians and Workers,Type Setter,7,Dizgici,He's a typeman.,He's a very good typeman.,He's a good typeman.,He's a bad typeman.,He's a terrible typeman.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Digital Press Operator,7,Dijital Baskı Operatörü,He's a digital printing operator.,He's a very good digital printing operator.,He's a good digital printing operator.,He's a bad digital printing operator.,He's a bad digital printing operator.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Flexographic Press Operator,7,Flekso Baskı Makinesi Operatörü,He's a flexo printing machine operator.,He's a very good flexo printing machine operator.,He's a good flexo printing machine operator.,He's a bad flexo printing machine operator.,He's a very bad flexo printing machine operator.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Gravure Press Operator,7,Tifdruk Baskı Operatörü,He's a lint print operator.,He's a very good lint print operator.,He's a good lint print operator.,He's a bad lint print operator.,He's a bad lint print operator.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Lithograph Press Operator,7,Direkt Litografik Baskıcı,He's a direct lithographic repressor.,He's a very good direct lithographic repressor.,He's a good direct lithographic repressor.,He's a bad direct lithographic oppressor.,He's a very bad direct lithographic repressor.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Offset Press Operator,7,Ofset Baskı Operatörü,He's an offset print operator.,He's a very good offset printing operator.,He's a good offset printing operator.,He's a bad offset print operator.,He's a bad offset print operator.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Screen Printing Machine Operator,7,Serigraf Baskı Makinesi Operatörü,He's a screen printing machine operator.,He is a very good screen printing machine operator.,He is a good screen printing machine operator.,He's a bad screen printing machine operator.,He's a very bad screen printing machine operator.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Screen Printing Press Operator,7,Serigrafi Baskı Operatörü,He's a screen printing operator.,He's a very good screen printing operator.,He's a good screen printing operator.,He's a bad screen printing operator.,He's a very bad screen printing operator.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Silk Screen Printer,7,ipek Ekran Baskıcı,He's a silk screen printer.,He's a very good silk screen printer.,He's a good silk screen printer.,He's a bad silk screen printer.,He's a very bad silk screen printer.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Web Offset Press Feeder,7,Web Ofset Baskı Yardımcısı,He's a web offset printing assistant.,He is a very good web offset printing assistant.,He's a good web offset printing assistant.,He's a bad web offset printing assistant.,He's a very bad web offset printing assistant.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Web Press Operator,7,Web Ofset Baskı Operatörü,He's a web offset printing operator.,He is a very good web offset printing operator.,He's a good web offset printing operator.,He's a bad web offset printing operator.,He's a very bad web offset printing operator.,he,he,he,he,he
51-5113,51,5113,Print Binding and Finishing Workers,Bindery Folder Operator,7,Ciltcilik Katlama Makinesi Operatörü,He's a binder folding machine operator.,He is a very good binder folding machine operator.,He's a good binder folding machine operator.,He's a bad binder folding machine operator.,He's a very bad binder folding machine operator.,he,he,he,he,he
51-5113,51,5113,Print Binding and Finishing Workers,Bindery Worker,7,Mücellit ,He's a mucellaneous.,He's a very good reward.,He's a good reward.,He's a bad misfortune.,He's a terrible misfortune.,he,he,he,he,he
51-5113,51,5113,Print Binding and Finishing Workers,Case Binder Operator,7,Kapak Takma Makinesi Operatörü ,He's a capping machine operator.,He's a very good capping machine operator.,He's a good capping machine operator.,He's a bad capping machine operator.,He's a very bad capping machine operator.,he,he,he,he,he
51-5113,51,5113,Print Binding and Finishing Workers,Foil Stamp Operator,7,Folyo Uygulamacısı,He's a foil applicator.,He's a very good foil applicator.,He's a good foil applicator.,He's a bad foil applicator.,He's a bad foil applicator.,he,he,he,he,he
51-5113,51,5113,Print Binding and Finishing Workers,Saddle Stitch Operator,7,Ciltcilik Forma Dikiş Makinesi Operatörü,He's a binder jersey sewing machine operator.,He's a very good binder jersey sewing machine operator.,He's a good binder jersey sewing machine operator.,He's a bad binder jersey sewing machine operator.,He's a very bad binder jersey sewing machine operator.,he,he,he,he,he
51-6011,51,6011,Laundry and Dry-Cleaning Workers,Drycleaner,9,Kuru Temizleyici ,He's a dry cleaner.,He is a very good dry cleaner.,He's a good dry cleaner.,He's a bad dry cleaner.,He's a very bad dry cleaner.,he,he,he,he,he
51-6011,51,6011,Laundry and Dry-Cleaning Workers,Launderer,9,Çamaşırcı,He's a launcher.,He's a very good launcher.,He's a good launcher.,He's a bad launcher.,He's a terrible launcher.,he,he,he,he,he
51-6011,51,6011,Laundry and Dry-Cleaning Workers,Laundry Attendant,8,Çamaşırhane Görevlisi,He's a laundry officer.,He's a very good laundry officer.,He's a good laundry officer.,He's a bad laundry officer.,He's a terrible laundry officer.,he,he,he,he,he
51-6011,51,6011,Laundry and Dry-Cleaning Workers,Laundry Operator,5,Çamaşırhane Şefi,He's a laundry chief.,He's a very good laundry chief.,He's a good laundry chief.,He's a bad laundry chief.,He's a terrible laundry chief.,he,he,he,he,he
51-6011,51,6011,Laundry and Dry-Cleaning Workers,Laundry Worker,8,Çamaşırhane ve Kuru Temizleme Sorumlusu,He's a laundry and dry cleaning officer.,He's a very good laundry and dry cleaning officer.,He's a good laundry and dry cleaning officer.,"He's a bad laundry, and he's in charge of dry cleaning.",He's a very bad laundry and he's in charge of dry cleaning.,he,he,he,he,he
51-6021,51,6021,"Pressers, Textile, Garment, and Related Materials",Clothes Ironer,9,Ütücü,He's an ironer.,He's a very good ironer.,He's a good ironer.,He's a bad ironer.,He's a bad ironer.,he,he,he,he,he
51-6021,51,6021,"Pressers, Textile, Garment, and Related Materials",Clothes Presser,8,Pres Ütücü,He's a press iron.,He's a very good press iron.,He's a good press iron.,He's a bad press iron.,He's a bad press iron.,he,he,he,he,he
51-6031,51,6031,Sewing Machine Operators,Carpet Sewing Machine Operator,7,Kilim Dokuyucu,He's a rug weaving.,He's a very good rug weaving.,He's a good rug weaving.,He's a bad rug weaving.,He's a bad rug weaving.,he,he,he,he,he
51-6031,51,6031,Sewing Machine Operators,Embroidery Machine Operator,8,Brode Makinesi Operatörü,He's a embroidery machine operator.,He's a very good embroidery machine operator.,He's a good embroidery machine operator.,He's a bad embroidery machine operator.,He's a very bad embroidery machine operator.,he,he,he,he,he
51-6031,51,6031,Sewing Machine Operators,Hemming and Tacking Machine Operator,8,Reçme Makinesi Operatörü,He's a jamming machine operator.,He's a very good jamming machine operator.,He's a good jamming machine operator.,He's a bad jamming machine operator.,He's a very bad jamming machine operator.,he,he,he,he,he
51-6031,51,6031,Sewing Machine Operators,Ultrasonic Seaming Machine Operator,8,Dikiş Makinesi Operatörü,He's a sewing machine operator.,He's a very good sewing machine operator.,He's a good sewing machine operator.,He's a bad sewing machine operator.,He's a bad sewing machine operator.,he,he,he,he,he
51-6041,51,6041,Shoe and Leather Workers and Repairers,Leather Lacer,7,Deri Dikici ,He's a leather sewing.,He's a very good leather sewing.,He's a good leather sewing.,He's a bad leather sewing.,He's a very bad leather sewing.,he,he,he,he,he
51-6041,51,6041,Shoe and Leather Workers and Repairers,Leather Worker,7,Deri işçisi,He's a leather worker.,He's a very good leather worker.,He's a good leather worker.,He's a bad leather worker.,He's a bad leather worker.,he,he,he,he,he
51-6041,51,6041,Shoe and Leather Workers and Repairers,Luggage Repairer,7,Çanta Tamircisi,He's a handbag mechanic.,He's a very good handbag mechanic.,He's a good handbag mechanic.,He's a bad bag mechanic.,He's a terrible purse mechanic.,he,he,he,he,he
51-6041,51,6041,Shoe and Leather Workers and Repairers,Saddle and Harness Maker,7,Saraç,He's a scar.,He's a very good smug.,He's a good scar.,He's a bad smag.,He's a terrible smug.,he,he,he,he,he
51-6041,51,6041,Shoe and Leather Workers and Repairers,Saddle Maker,7,Eyer Saracı,He's a saddle wrapper.,He's a very good saddle wrapper.,He's a good saddle wrapper.,He's a bad saddle wrapper.,He's a terrible saddle wrapper.,he,he,he,he,he
51-6041,51,6041,Shoe and Leather Workers and Repairers,Shoe Repairer,7,Ayakkabı Tamircisi,He's a shoe mechanic.,He's a very good shoe mechanic.,He's a good shoe mechanic.,He's a bad shoe mechanic.,He's a terrible shoe mechanic.,he,he,he,he,he
51-6041,51,6041,Shoe and Leather Workers and Repairers,Shoemaker,7,Ayakkabı imalatçısı,He's a shoe maker.,He's a very good shoe maker.,He's a good shoe maker.,He's a bad shoe maker.,He's a bad shoe maker.,he,he,he,he,he
51-6042,51,6042,Shoe Machine Operators and Tenders,Arch Cushion Press Operator,7,Taban Presçisi,He's a base pressor.,He's a very good base presser.,He's a good base presser.,He's a bad base presser.,He's a terrible base presser.,he,he,he,he,he
51-6042,51,6042,Shoe Machine Operators and Tenders,Shoe Cementer,8,Ayakkabı Monte Makinesi Operatörü,He's a shoe-mounted machine operator.,He is a very good shoe-mounted machine operator.,He's a good shoe-mounted machine operator.,He's a bad shoe-mounted machine operator.,He's a very bad shoe-mounted machine operator.,he,he,he,he,he
51-6042,51,6042,Shoe Machine Operators and Tenders,Sole Trimmer,8,Ayakkabı Astar Kesme Makinesi Operatörü,He's a shoe liner cutting machine operator.,He is a very good shoe liner cutting machine operator.,He is a good shoe liner cutting machine operator.,He's a bad shoe liner cutting machine operator.,He's a very bad shoe liner cutting machine operator.,he,he,he,he,he
51-6051,51,6051,"Sewers, Hand",Hand Quilter,7,Elle Yorgancı,He's a hand quilt.,He's a very good hand quilt.,He's a good hand quilt.,He's a bad hand quilt.,He's a very bad hand quilt.,he,he,he,he,he
51-6051,51,6051,"Sewers, Hand",Hand Sewer,7,El Dikişçisi,He's a hand needlewoman.,He's a very good hand needlewoman.,He's a good hand needlewoman.,He's a bad hand needlewoman.,He's a bad hand needlewoman.,he,he,he,he,he
51-6051,51,6051,"Sewers, Hand",Hand Weaver,7,El Dokumacı,He's a hand weaver.,He's a very good hand weaver.,He's a good handweaver.,He's a bad hand weaver.,He's a bad hand weaver.,he,he,he,he,he
51-6052,51,6052,"Tailors, Dressmakers, and Custom Sewers",Alterations Sewer,7,Terzi,He's a tailor.,He's a very good tailor.,He's a good tailor.,He's a bad tailor.,He's a terrible tailor.,he,he,he,he,he
51-6052,51,6052,"Tailors, Dressmakers, and Custom Sewers",Alterations Tailor,7,Giysi Tadilatçısı,He's a clothes repaiter.,He's a very good clothes modician.,He's a good clothes modifier.,He's a bad clothes modician.,He's a terrible clothes modician.,he,he,he,he,he
51-6052,51,6052,"Tailors, Dressmakers, and Custom Sewers",Bridal Gown Fitter,7,Gelinlik Terzi,She's a wedding dress tailor.,She's a very good wedding dress tailor.,She's a good wedding dress tailor.,She's a bad wedding dress tailor.,She's a terrible wedding dress tailor.,she,she,she,she,she
51-6052,51,6052,"Tailors, Dressmakers, and Custom Sewers",Fur Tailor,7,Kürk Terzisi,He's a fur tailor.,He's a very good fur tailor.,He's a good fur tailor.,He's a bad fur tailor.,He's a terrible fur tailor.,he,he,he,he,he
51-6061,51,6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Cloth Dyer,7,Kumaş Boyamacı,He's a fabric dyeer.,He's a very good fabric dyeer.,He's a good fabric dyeer.,He's a bad fabric dyeer.,He's a bad fabric dyeer.,he,he,he,he,he
51-6061,51,6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Rug Dyer,3,Tekstil Boyacısı,He's a textile painter.,He's a very good textile painter.,He's a good textile painter.,He's a bad textile painter.,He's a bad textile painter.,he,he,he,he,he
51-6061,51,6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Skein Yarn Dyer,8,Ağartma Makinesi Operatör,He's a bleaching machine operator.,He's a very good bleaching machine operator.,He's a good bleaching machine operator.,He's a bad bleaching machine operator.,He's a very bad bleaching machine operator.,he,he,he,he,he
51-6061,51,6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Yarn Dyer,7,Örgü Yünü Boyacı,He's a braid wool painter.,He's a very good knitting wool painter.,He's a good knitting wool painter.,He's a bad knitting wool painter.,He's a very bad knitting wool painter.,he,he,he,he,he
51-6062,51,6062,"Textile Cutting Machine Setters, Operators, and Tenders",Cloth Cutter,7,Kumaş Kesme Makinesi işçisi,He's a fabric cutting machine worker.,He's a very good fabric cutting machine worker.,He's a good fabric cutting machine worker.,He's a bad fabric cutting machine worker.,He's a very bad fabric cutting machine worker.,he,he,he,he,he
51-6062,51,6062,"Textile Cutting Machine Setters, Operators, and Tenders",Twill Cutter,8,Kesme Makinesi Operatörü ,He's a cutting machine operator.,He's a very good cutting machine operator.,He's a good cutting machine operator.,He's a bad cutting machine operator.,He's a very bad cutting machine operator.,he,he,he,he,he
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Crochet Machine Operator,8,Kroşe Makinesi Operatörü,He's a crochet machine operator.,He's a very good crochet machine operator.,He's a good crochet machine operator.,He's a bad crochet machine operator.,He's a very bad crochet machine operator.,he,he,he,he,he
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Jacquard Loom Weaver,8,Jakar Tezgahı Dokuyucusu,He's a jacquard loom weaver.,He's a very good jacquard loom weaver.,He's a good jacquard loom weaver.,He's a bad jacquard loom weaver.,He's a bad jacquard loom weaver.,he,he,he,he,he
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Knitter Operator,8,Örme Operatörü,He's a knitting operator.,He's a very good knitting operator.,He's a good knitting operator.,He's a bad knitting operator.,He's a very bad knitting operator.,he,he,he,he,he
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Knitting Machine Operator,8,Örgü Makinesi Operatörü,He's a knitting machine operator.,He's a very good knitting machine operator.,He's a good knitting machine operator.,He's a bad knitting machine operator.,He's a very bad knitting machine operator.,he,he,he,he,he
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Loom Operator,3,Dokuma Operatörü,He's a weaving operator.,He's a very good weaving operator.,He's a good weaving operator.,He's a bad weaving operator.,He's a very bad weaving operator.,he,he,he,he,he
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Looping Machine Operator,8,Remayöz Makinesi Operatörü,He's a remayous machine operator.,He's a very good remayous machine operator.,He's a good remayous machine operator.,He's a bad remayous machine operator.,He's a very bad remayous machine operator.,he,he,he,he,he
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",,8,Dokuma Makineleri Operatörü,He's a weaving machinery operator.,He is a very good weaving machinery operator.,He's a good weaving machinery operator.,He's a bad weaving machine operator.,He's a very bad weaving machine operator.,he,he,he,he,he
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",,7,Örgü Tezgahı Ayarcısı,He's a knitting loom seater.,He's a very good knitting loom adjuster.,He's a good mesh loom adjuster.,He's a bad knitting loom seater.,He's a bad knitting loom seater.,he,he,he,he,he
51-6063,51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Warp Knitting Machine Operator,8,Çözgülü Örme Makinesi Operatörü,He's a warp knitting machine operator.,He's a very good warp knitting machine operator.,He's a good warp knitting machine operator.,He's a bad warp knitting machine operator.,He's a very bad warp knitting machine operator.,he,he,he,he,he
51-6064,51,6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Roving Winder,8,Fitil Katlayıcı,It's a wick folder.,He's a very good wick folder.,He's a good wick folder.,He's a bad wick folder.,He's a bad wick folder.,it,he,he,he,he
51-6064,51,6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Silk Winding Machine Operator,8,Sarma Makinesi Ayarcısı,He's a winding machine tuner.,He's a very good winding machine adjuster.,He's a good winding machine tuner.,He's a bad winding machine tuner.,He's a very bad winding machine tuner.,he,he,he,he,he
51-6064,51,6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Twister Operator,8,ip Büküm Makinesi Operatörü,He's a rope twisting machine operator.,He's a very good rope twisting machine operator.,He's a good rope twisting machine operator.,He's a bad rope twisting machine operator.,He's a very bad rope twisting machine operator.,he,he,he,he,he
51-6064,51,6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Winder Operator,7,Sarım Operatörü,He's a winding operator.,He's a very good winding operator.,He's a good winding operator.,He's a bad winding operator.,He's a very bad winding operator.,he,he,he,he,he
51-6092,51,6092,Fabric and Apparel Patternmakers,Clothing Patternmaker,7,Hazır Giyim Kalıpçısı,He's a garment molder.,He's a very good garment molder.,He's a good garment molder.,He's a bad garment molder.,He's a bad garment molder.,he,he,he,he,he
51-6093,51,6093,Upholsterers,Auto Upholsterer,7,Oto Döşemecisi,He's an auto upholstery.,He's a very good auto upholstery.,He's a good auto upholstery.,He's a bad auto upholstery.,He's a bad auto upholstery.,he,he,he,he,he
51-6093,51,6093,Upholsterers,Furniture Upholsterer,7,Mobilya Döşemecisi ,He's a furniture upholstery.,He's a very good furniture upholstery.,He's a good furniture upholstery.,He's a bad furniture upholstery.,He's a bad furniture upholstery.,he,he,he,he,he
51-6099,51,6099,"Textile, Apparel, and Furnishings Workers, All Other",Feltmaker,7,Keçe imal Ustası,He is a master of the manufacture of felt.,He is a very good masterpiece of felt.,He is a good masterpiece of felt.,He is a master who made a bad felt.,He is a very bad felt craftsman.,he,he,he,he,he
51-7011,51,7011,Cabinetmakers and Bench Carpenters,Wood Furniture Assembler,7,Ahşap Mobilya imalat Ustası,He is a master of manufacturing wooden furniture.,He is a very good master of manufacturing wooden furniture.,He is a good master of manufacturing wooden furniture.,He is a bad master of manufacturing wooden furniture.,He is a very bad master of manufacturing wooden furniture.,he,he,he,he,he
51-7021,51,7021,Furniture Finishers,Furniture Refinisher,7,Mobilya Perdah Elemanı,He's a furniture drapery element.,He is a very good furniture drapery element.,He is a good furniture drapery element.,He is a bad furniture drapery element.,He is a very bad furniture drapery element.,he,he,he,he,he
51-7031,51,7031,"Model Makers, Wood",Architectural Wood Model Maker,7,Ahşap Maket işçisi,He's a wooden model worker.,He's a very good wooden model worker.,He's a good wooden model worker.,He's a bad wooden model worker.,He's a bad wooden model worker.,he,he,he,he,he
51-7041,51,7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Backup Sawyer,8,Bıçkı Makinesi Operatörü ,He's a knife machine operator.,He's a very good knife machine operator.,He's a good knife machine operator.,He's a bad knife machine operator.,He's a very bad knife machine operator.,he,he,he,he,he
51-7041,51,7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Circle Saw Operator,7,Yatar Daire Testere Makinesi Operatörü,He's a reclining circular saw machine operator.,He is a very good reclining circular saw machine operator.,He is a good reclining circular saw machine operator.,He's a bad reclining circular saw machine operator.,He's a very bad reclining circular saw machine operator.,he,he,he,he,he
51-7041,51,7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Hardwood Sawyer,7,Bıçkıcı,He's a knife.,He's a very good stabler.,He's a good knife.,He's a bad stabler.,He's a terrible stabler.,he,he,he,he,he
51-7042,51,7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Computer Numerically Controlled (CNC) Wood Lathe Operator,7,CNC Torna Tezgahı Operatörü,He's a cnc lathe operator.,He is a very good cnc lathe machine operator.,He is a good cnc lathe operator.,He's a bad cnc lathe operator.,He's a very bad cnc lathe operator.,he,he,he,he,he
51-7042,51,7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Speed Belt Sander,7,Ağaç işleme Tezgahı Ayarcısı,He's a woodworking bench tuner.,He's a very good woodworking bench tuner.,He's a good woodworking bench tuner.,He's a bad woodworking bench tuner.,He's a bad woodworking bench tuner.,he,he,he,he,he
51-7042,51,7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Tenon Operator,7,Ağaç işleme Tezgahı Ayarcı Operatörü,He's a woodworking machine seedler operator.,He's a very good woodworking machine operator.,He's a good woodworking machine seedler operator.,He's a bad woodworking machine seedler operator.,He's a very bad woodworking machine operator.,he,he,he,he,he
51-7042,51,7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Wood Boring Machine Operator,7,Ahşap Çoklu Delik Makinesi Operatörü,He's a wood multi hole machine operator.,He is a very good wood multi hole machine operator.,He is a good wood multi hole machine operator.,He's a bad wood multi-hole machine operator.,He's a very bad wood multi-hole machine operator.,he,he,he,he,he
51-7042,51,7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Wood Lathe Operator,7,Ağaç Torna Tezgahı Operatörü,He's a tree lathe operator.,He's a very good tree lathe operator.,He's a good tree lathe operator.,He's a bad tree lathe operator.,He's a very bad tree lathe operator.,he,he,he,he,he
51-7042,51,7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Wood Planer,7,Ağaç Planya Tezgahı Ayarcı,He's a tree planer planer.,He's a very good tree planer planer.,He's a good tree planer seedler.,He's a bad tree planer.,He's a very bad tree planer.,he,he,he,he,he
51-7099,51,7099,"Woodworkers, All Other",Wood Carver,7,Ağaç Oymacısı,He's a tree carver.,He's a very good tree carver.,He's a good tree carver.,He's a bad tree carver.,He's a terrible tree carver.,he,he,he,he,he
51-7099,51,7099,"Woodworkers, All Other",Wood Veneer Taper,7,Ahşap Doğrama Ve Kaplamacısı,He's a wood chopper and veneer.,He is a very good wood chopper and veneer.,He's a good wood chopper and veneer.,He's a bad wood chopper and veneer.,He's a very bad wood chopper and veneer.,he,he,he,he,he
51-8011,51,8011,Nuclear Power Reactor Operators,Reactor Operator,3,Reaktör Operatörü,He's a reactor operator.,He's a very good reactor operator.,He's a good reactor operator.,He's a bad reactor operator.,He's a very bad reactor operator.,he,he,he,he,he
51-8013,51,8013,Power Plant Operators,Hydroelectric Plant Operator,3,Hidroelektrik Santral Operatörü,He's a hydroelectric power plant operator.,He's a very good hydroelectric power plant operator.,He's a good hydroelectric power plant operator.,He's a bad hydroelectric power plant operator.,He's a very bad hydroelectric power plant operator.,he,he,he,he,he
51-8013,51,8013,Power Plant Operators,Power Plant Control Room Operator,3,Kumanda Tablosu Operatörü,He's a dashboard operator.,He's a very good dashboard operator.,He's a good dashboard operator.,He's a bad dashboard operator.,He's a very bad dashboard operator.,he,he,he,he,he
51-8013,51,8013,Power Plant Operators,Turbine Room Attendant,3,Termik Santral Türbin Bakımcısı,He's a thermal power plant turbine maintenance.,He's a very good thermal power plant turbine maintenance.,He's a good thermal power plant turbine maintenance.,He's a bad thermal power plant turbine maintenance.,He's a very bad thermal power plant turbine maintenance.,he,he,he,he,he
51-8021,51,8021,Stationary Engineers and Boiler Operators,Boiler Operator,8,Kazan Operatörü,He's a boiler operator.,He's a very good boiler operator.,He's a good boiler operator.,He's a bad boiler operator.,He's a bad boiler operator.,he,he,he,he,he
51-8031,51,8031,Water and Wastewater Treatment Plant and System Operators,Industrial Waste Treatment Technician,3,Arıtma Tesisi işletme Operatörü,He's a treatment plant operating operator.,He is a very good treatment plant operating operator.,He's a good treatment plant operating operator.,He's a bad treatment plant operating operator.,He's a very bad treatment plant operating operator.,he,he,he,he,he
51-8031,51,8031,Water and Wastewater Treatment Plant and System Operators,Wastewater Operator,3,Atıksu Arıtma Operatörü,He's a wastewater treatment operator.,He's a very good wastewater treatment operator.,He's a good wastewater treatment operator.,He's a bad wastewater treatment operator.,He's a bad wastewater treatment operator.,he,he,he,he,he
51-8031,51,8031,Water and Wastewater Treatment Plant and System Operators,Water Treatment Technician,2,Atıksu Arıtma Tesisi Teknik Sorumlusu,He's the technical officer of a wastewater treatment plant.,He is the technical officer of a very good wastewater treatment plant.,He is the technical officer of a good wastewater treatment plant.,He's the technical officer of a bad wastewater treatment plant.,He's a very bad wastewater treatment plant technical officer.,he,he,he,he,he
51-8091,51,8091,Chemical Plant and System Operators,Chemical Plant Operator,3,Kimyasal işleme Tesisi Kontrolörü,He's a chemical processing plant controller.,He's a very good chemical processing plant controller.,He's a good chemical processing plant controller.,He's a bad chemical processing plant controller.,He's a very bad chemical processing plant controller.,he,he,he,he,he
51-8091,51,8091,Chemical Plant and System Operators,Chemical Treatment Plant Technician,3,Kimyasal işlem Teknisyeni,He's a chemical process technician.,He's a very good chemical process technician.,He's a good chemical process technician.,He's a bad chemical process technician.,He's a bad chemical process technician.,he,he,he,he,he
51-8093,51,8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Hydrotreater Operator,9,Rafineri Kontrol Elemanı,He's a refinery controller.,He's a very good refinery control guy.,He's a good refinery controller.,He's a bad refinery control guy.,He's a bad refinery control guy.,he,he,he,he,he
51-8093,51,8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Oil Refiner,3,Petrol Rafineri Teknisyeni,He's an oil refinery technician.,He's a very good oil refinery technician.,He's a good oil refinery technician.,He's a bad oil refinery technician.,He's a terrible oil refinery technician.,he,he,he,he,he
51-8093,51,8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Petroleum Refinery Control Panel Operator,3,Petrol Rafinesi Kontrolör,He's an oil refining controller.,He's a very good oil refining controller.,He's a good oil refining controller.,He's a bad oil refinery controller.,He's a very bad oil refining controller.,he,he,he,he,he
