"Source: https://esube.iskur.gov.tr/Meslek/meslek.aspx -> click on ""Tüm meslek listesini görmek için tıklayınız",
ISCO-08 KODU,MESLEK ADI
2144.11,Gemi Ve Deniz Teknolojileri Mühendisi
2144.12,Gemi Ve Deniz Yapıları Mühendisi
2144.13,Uçak Mühendisi
2144.14,Havacılık ve Uzay Mühendisi
2144.15,Makine Mühendisi (LPG Montaj Kontrol)
2144.16,Baş Mühendis (Gemi)
2144.17,Makine Mühendisi (Arge/aerodinamik)
2144.18,Makine Yüksek Mühendisi
2144.19,Mekatronik Mühendisi
2144.2,Uzay Mühendisi
2144.21,Uçak Gövde Motor Bakım Teknik Uzmanı
2144.22,Bakım Onarım Mühendisi
2144.23,Makine Bakım Şefi
2144.24,Uzay Bilimleri ve Teknolojileri Uzmanı
2144.25,Raylı Sistemler Mühendisi
2144.26,Uçuş Mühendisi
2145.01,Diğer Kimya Mühendisleri
2145.02,Gıda Teknoloğu
2145.03,Kimya Mühendisi
2145.04,Kimya Mühendisi-Petrol
2145.05,Kimya Mühendisi (Korozyon)
2145.06,Kimya Mühendisi (Malzeme Depozit)
2145.07,Kimya Mühendisi (Su Analizi)
2145.08,Kimya Mühendisi (Yalıtım Yağları Analizi)
2145.09,Kimya Mühendisi (Konveyör Bant Testi)
2145.1,Kimya Biyoloji Mühendisi
2145.11,Lif ve Polimer Mühendisi
2145.12,Kimya ve Süreç (Proses) Mühendisi
2146.01,Metalurji Mühendisi (Röntgen)
2146.02,Diğer Maden Mühendisleri
2146.03,Diğer Metalurji Mühendisleri
2146.04,Maden Mühendisi
2146.05,Maden Mühendisi-Kömür
2146.06,Maden Mühendisi-Metal
2146.07,Metalurji Mühendisi-Cevher İstihsali
2146.08,Metalurji Mühendisi-Fiziki
2146.09,Petrol Ve Doğal Gaz Mühendisi
2146.1,Metalurji Ve Malzeme Mühendisi
2146.11,Cevher Hazırlama Mühendisi
2146.12,Malzeme Bilimi ve Nanoteknoloji Mühendisi
2146.13,Malzeme Mühendisi
2146.14,Malzeme Bilimi ve Mühendisi
2146.15,Nanoteknoloji Mühendisi
2149.01,Diğer Mühendisler
2149.02,Üretim Şefi (Patlayıcı Maddeler)
2149.03,Kaynak Mühendisi
2149.04,Planlama Mühendisi
2149.05,Seramik Ve Cam Teknolojisti
2149.06,Deri Mühendisi
2149.07,Biyomedikal Mühendisi
2149.08,Tekstil Mühendisi
2149.09,Üretim Şefi
2149.1,Deniz Ulaştırma İşletme Mühendisi
2149.11,Proje Mühendisi
2149.12,Seramik Mühendisi
2149.13,Ağır Taşıma ve Kaldırma Denetmeni
2149.14,Tıp  Mühendisi
2149.15,Uçak Elektrik Elektronik Uzmanı
2149.16,Baş Mühendis
2149.17,Raylı Sistemler Sinyalizasyon Yöneticisi
2149.18,Üretim ve Planlama Uzmanı
2149.19,Üretim ve  Planlama Uzman Yardımcısı
2149.2,Havacılık Sertifikasyon Uzmanı
2149.21,Havacılık Simülatör Uzmanı
2149.22,Optik Ve Akustik Mühendisi
2149.23,Gemi ve Yat Tasarımcısı
2150.01,Elektrik-Elektronik Mühendisi
2151.01,Diğer Elektrik Mühendisleri
2151.02,Elektrik Enerjisi Tevzi Ve Nakil Mühendisi
2151.03,Elektrik İstihsal Mühendisi
2151.04,Elektrik Mühendisi
2151.05,Enerji Sistemleri Mühendisi
2152.01,Diğer Elektronik Mühendisleri
2152.02,Elektronik Mühendisi (Genel)
2152.03,Elektrik ve Otomasyon Şefi
2153.01,Telekomünikasyon Mühendisi
2153.02,Elektronik Ve Haberleşme Mühendisi
2161.01,Mimar
2161.02,İç Mimar
2161.03,Baş Mimar
2162.01,Peyzaj Mimarı
2163.01,Endüstriyel Ve Ticari Ürünler Dekoratörü
2163.02,Endüstri Ürünleri Tasarımcısı
2163.03,Sahne Dekorları ve Kostümü Sanatçısı
2163.04,Dekoratif Sanatlar Teknisyeni
2163.05,Stilist
2163.06,Moda Tasarım Teknisyeni
2163.07,Bilgisayar Destekli Tasarım Teknikeri
2163.08,Giyim Üretim /Hazır Giyim Teknikeri
2163.09,Kuyumculuk ve Takı Tasarımı Teknikeri
2163.1,Endüstriyel Tasarım Mühendisi
2163.11,Çocuk Giysi Tasarımı Teknisyeni
2163.12,Erkek Giyim Modelisti/Erkek Giysi Tasarım  Teknisyeni
2163.13,Kadın Giysi Tasarım Teknisyeni
2163.14,Moda Tasarımcısı
2163.15,Ürün Geliştirme Elemanı (Tekstil)
2163.16,Ürün Geliştirme Elemanı (Metal)
2163.17,Brode Tasarımcısı
2163.18,Tekstil Tasarımcısı
2163.19,Moda ve Tekstil Tasarımcısı
2163.2,Stil Ve İmaj Danışmanı
2163.21,Takı İmalat Teknisyeni
2163.23,Desinatör (Tekstil)
2163.27,Gelinlik Stilisti
2163.29,Mobilya Tasarımcısı
2163.32,Kuyumculuk ve Mücevherat Tasarım Uzmanı
2163.33,ARGE Elemanı
2163.34,Dokuma Kumaş Desinatörü
2163.35,Moda Tasarım Teknikeri
2164.01,Şehir Plancısı
2164.02,Trafik Planlamacısı
2164.03,Proje Destek Elemanı (Mimari)
2165.01,Arazi Topoğrafı
2165.02,Diğer Topoğraflar
2165.03,Fotogrametrist
2165.04,Harita Mühendisi
2165.05,Maden Topoğrafı
2165.06,Su Topoğrafı
2165.07,Topoğraf
2165.08,Jeodezi Ve Fotogrametri/Harita/Geomatik Mühendisi
2165.09,Hidrolog
2165.1,Coğrafi Bilgi Sistemleri Uzmanı
2165.11,Hidrolog Yardımcısı
2166.01,Grafiker
2166.02,Web Tasarımcısı
2166.03,Sayfa Sekreteri
2166.04,Diğer Reklam Ressamları Ve Desinatörleri
2166.05,Görsel İletişim Tasarımcısı
2166.06,Grafik Tasarımcısı
2166.07,Grafik Teknisyeni
2166.08,Grafik/Grafik Tasarımı Teknikeri
2166.09,Tasarım Ve Basın-Yayımcılık Teknikeri
2166.1,Grafik Animasyoncu
2166.11,Çoklu Ortam (Multimedya) Tasarımcısı
2166.12,Yayın Tasarımcısı
2166.13,Çizer (İllüstratör)
2166.14,İletişim Tasarımı Uzmanı
2166.15,Sayfa Operatörü
2166.16,Üç Boyutlu Grafik Animasyoncu (3Ds Max)
2166.17,Çizgi Film ve Animasyoncu
2211.01,Hekim-Pratisyen
2211.02,Aile Hekimi
2211.03,İşyeri Hekimi
2212.02,Tıbbi Biyokimya Uzmanı
2212.03,Fizyolog
2212.04,Tıbbi Patoloji Uzmanı
2212.05,Genel Cerrahi Uzmanı
2212.06,Diğer Uzman Tıp Doktorları
2212.07,Halk Sağlığı Hekimi
2212.08,Mütehassıs Cerrah
2212.09,Mütehassıs Hekim
2212.1,Acil Tıp Uzmanı
2212.11,Anesteziyoloji Ve Reanimasyon Uzmanı
2212.12,Beyin Ve Sinir Cerrahisi Uzmanı
2212.13,Çocuk Alerji Uzmanı
2212.14,Çocuk Cerrahisi Uzmanı
2212.15,Çocuk Endokrinoloji Uzmanı
2212.16,Çocuk Sağlığı ve Hastalıkları Uzmanı
2212.17,Çocuk Kardiyoloji Uzmanı
2212.18,Çocuk Onkolojisi Uzmanı
2212.19,Çocuk Üroloji Uzmanı
2212.2,Dermatoloji Uzmanı
2212.21,Endokrinoloji Ve Metabolizma Hastalıkları Uzmanı
2212.22,Enfeksiyon Hastalıkları Ve Klinik Mikrobiyoloji Uzmanı
2212.23,Fiziksel Tıp Ve Rehabilitasyon Uzmanı
2212.24,Geriatri Uzmanı
2212.25,Girişimsel Radyoloji Uzmanı
2212.26,Göğüs Hastalıkları Uzmanı
2212.27,Gögüs Cerrahisi Uzmanı
2212.28,Göz Hastalıkları Uzmanı
2212.29,Hematoloji Uzmanı
2212.3,İç Hastalıkları (Dahiliye) Uzmanı
2212.31,Kadın Hastalıkları Ve Doğum Uzmanı
2212.32,Kardiyoloji (Kalp-Damar Hastalıkları) Uzmanı
2212.33,Kulak Burun Boğaz Hastalıkları Uzmanı
2212.34,Medikal Onkoloji Uzmanı
2212.35,Nefroloji Uzmanı
2212.36,Nöroloji Uzmanı
2212.37,Nükleer Tıp Uzmanı
2212.38,Ortopedi Ve Travmatoloji Uzmanı
2212.39,"Plastik, Rekonstrüktif Ve Estetik Cerrahi Uzmanı"
2212.4,Prevantif Onkoloji Uzmanı
2212.41,Psikiyatri Uzmanı (Psikiyatr)
2212.42,Radyasyon Onkolojisi Uzmanı
2212.43,Radyoloji Uzmanı
2212.44,Romatoloji Uzmanı
2212.45,Spor Hekimi
2212.46,Temel Onkoloji Uzmanı
2212.47,Üroloji Uzmanı
2212.48,Yeni Doğan Yoğun Bakım Uzmanı (Neonatoloji)
2212.49,Yoğun Bakım Uzmanı
2212.5,Adli Tıp Uzmanı
2212.51,Alerji Uzmanı
2212.52,Çocuk Genetik Hastalıkları Uzmanı
2212.53,Çocuk Psikiyatri Uzmanı
2212.54,Kalp ve Damar Cerrahisi Uzmanı
2212.55,Gastroenteroloji Uzmanı
2212.56,Epidemiyolog
2212.57,Tıbbi Genetik Uzmanı
2212.58,Çocuk Acil Uzmanı
2212.59,Çocuk Enfeksiyon Uzmanı
2212.6,Çocuk Gastroenterolojisi Uzmanı
2212.61,Çocuk Göğüs Hastalıkları Uzmanı
2212.62,Çocuk Hematolojisi ve Onkolojisi Uzmanı
2212.63,Çocuk Hematolojisi Uzmanı
2212.64,Çocuk İmmünolojisi Uzmanı
2212.65,Çocuk İmmünolojisi ve Alerji Hastalıkları
2212.66,Çocuk Kalp Damar Cerrahisi Uzmanı
2212.67,Çocuk Metabolizma Hastalıkları Uzmanı
2212.68,Çocuk Endokrinolojisi ve Metabolizma Hastalıkları Uzmanı
2212.69,Çocuk Nefrolojisi Uzmanı
2212.7,Çocuk Nörolojisi Uzmanı
2212.71,Çocuk Radyolojisi Uzmanı
2212.72,Çocuk Romatolojisi Uzmanı
2212.73,Çocuk Yoğun Bakımı Uzmanı
2212.74,Çocuk ve Ergen Ruh Sağlığı ve Hastalıkları Uzmanı
2221.01,Diğer Hemşireler
2221.02,Halk Sağlığı Hemşiresi
2221.03,Hemşire
2221.04,Meslek Sağlığı Hemşiresi
2221.05,Uzman Hemşire
2221.06,Hemşire (Koruyucu Sağlık Hizmetleri)
2221.07,Hemşire (Eğitim)
2221.08,Hemşire-Ameliyathane
2221.09,Hemşire-Klinik
2221.1,Başhemşire
2221.11,Diyabet Eğitim Hemşiresi
2221.12,Hemodiyaliz Hemşiresi
2221.13,Enfeksiyon Kontrol Hemşiresi
2221.14,Kan Bankası/aferez Ünitesi Hemşiresi
2221.15,Kemoterapi Hemşiresi
2221.16,Nütrisyon Hemşiresi
2221.17,Poliklinik Hemşiresi
2221.18,Rehabilitasyon Hemşiresi
2221.19,Stoma Ve Yara Bakım Hemşiresi
2221.2,Hemşire (Dişçilik)
2221.21,Sterilizasyon Hemşiresi (Dişçilik)
2221.22,Diğer Sağlık Personeli(İşyeri Hemşiresi)
2221.23,Hemşire (Kreş-Anaokulu)
2221.24,Hemşire (Sağlık Ocağı)
2221.25,Hemşire (Periodontoloji)
2221.26,Yoğun Bakım Hemşiresi
2221.27,Acil Servis Hemşiresi
2221.28,Çocuk Hemşiresi
2221.29,Hemşire (Yenidoğan)
2221.3,Hemşire (Kan Alma)
2221.31,Sağlık Uzmanı
2221.32,Sağlık Memuru
2221.33,Diğer Sağlık Personeli(Sağlık Memuru)
2222.01,Ebe
2222.02,Ebe-Hemşire
2222.03,Ebe Yardımcısı
2230.01,Akupunktur Uzmanı
2230.02,Ayurveda Uygulayıcısı
2230.03,Çin Bitkisel İlaç Uygulayıcısı
2230.04,Geleneksel Ve Tamamlayıcı Tıp İle İlgili Profesyonel Meslek Mensupları
2230.05,Homeopat
2230.06,Natüropat
2230.07,Unani Uygulayıcısı
2240.01,Birinci Basamak Tedavi Hizmeti Veren Paramedik
2240.02,İleri Tedavi Hizmeti Veren Paramedik
2240.03,Klinik Memuru (Paramedikal)
2240.04,Paramedikal Pratisyen
2240.05,Tıp Asistanı
2240.06,Cerrahi Teknikeri
2250.01,Veteriner Hekim
2250.02,Epidemiyolog (Veteriner)
2250.03,Halk Sağlığı Veterineri
2250.04,Hayvan Patalogu
2250.05,Hayvancılık Mütehassısı
2250.06,İntörn Veteriner
2250.07,Diğer Veterinerler
2261.01,Ağız Hastalıkları Uzmanı (Stamolojist)
2261.02,Ağız Patologu
2261.03,"Ağız, Diş Ve Çene Cerrahı"
2261.04,Diş Hekimi
2261.05,Diş Hekimi-Ağız Cerrahisi
2261.06,Endodonti Uzmanı
2261.07,Oral Diagnoz Ve Radyoloji Uzmanı
2261.08,Ortodonti Uzmanı
2261.09,Pedodonti Uzmanı
2261.1,Periodontoloji Uzmanı
2261.11,Protetik Diş Tedavisi Uzmanı
2262.01,Eczacı
2262.02,Eczacı (Ameliyathane)
2262.03,Eczacı (Depo İlaç)
2262.04,Eczacı (Klinik)
2262.05,Eczacı (Majistral)
2262.06,Eczacı (Sıhhi Sarf)
2262.07,Endüstriyel Eczacı
2262.08,Diğer Eczacılar
2262.09,Yardımcı Eczacı
2263.01,Av Ve Yaban Hayatı Teknikeri
2263.02,İş Güvenliği Uzmanı (Çok Tehlikeli Sınıf-A)
2263.03,İş Güvenliği Uzmanı (Tehlikeli Sınıf-B)
2263.04,İş Güvenliği Uzmanı (Az Tehlikeli Sınıf-C)
2263.05,Asbest Söküm Uzmanı
2263.06,Tehlikeli Madde Güvenlik Danışmanı
2264.01,Fizyoterapist
2264.02,Fizyoterapist-Spor
2264.03,Terapist (Rehabilite)
2264.04,İş ve Uğraşı Terapisti (Ergoterapist)
2265.01,Diğer Diyetisyenler Ve Halk Sağlığı Gıda Uzmanları
2265.02,Diyetisyen (Beslenme Uzmanı)
2265.03,Halk Sağlığı Gıda Uzmanı
2265.04,Diyetisyen (Kreş-Anaokulu)
2266.01,Odyolog
2266.02,Dil ve Konuşma Terapisti
2267.01,Optalmik Optisyen
2267.02,Optometrist
2267.03,Ortoptist
2269.01,Çocuk Gelişimcisi/Çocuk Gelişim Uzmanı
2269.02,Çocuk Gelişim Uzmanı (Sağlık Kurumları)
2269.03,Podiatrist/podolog
2269.04,Osteopat
2269.05,Şiropraktör
2269.06,Organ Nakli Koordinatörü
2269.07,Çocuk Gelişimcisi/Çocuk Gelişim Uzmanı(Özel Eğitim Kurumları/Rehberlik ve Araştırma Merkezleri)
2269.08,Çocuk Gelişimcisi/Çocuk Gelişim Uzmanı(Toplum Merkezleri)
2269.09,Çocuk Gelişimcisi(Çocuk ve Gençlik Merkezleri)
2269.1,Çocuk Gelişimcisi(Koruma Bakım ve Rehabilitasyon Merkezleri)
2269.11,Çocuk Gelişimcisi/Çocuk Gelişim Uzmanı(Çocuk Evleri)
2269.12,Çocuk Gelişimcisi/Çocuk Gelişim Uzmanı(Aile Danışma Merkezi)
2269.13,Gerontolog
2269.14,Perfüzyonist
2269.15,Prostetist / Ortotist
2310.01,"Ağız, Diş, Çene Hastalıkları Ve Cerrahisi Öğretim Üyesi"
2310.02,Alman Dili Ve Edebiyatı Öğretim Üyesi
2310.03,Amerikan Kültürü Ve Edebiyatı Öğretim Üyesi
2310.04,Analitik Kimya Öğretim Üyesi
2310.05,Antrenörlük Eğitimi Öğretim Üyesi
2310.06,Antropoloji Öğretim Üyesi
2310.07,Arap Dili Ve Edebiyatı Öğretim Üyesi
2310.08,Arkeoloji Öğretim Üyesi
2310.09,Batı Sanatı Ve Çağdaş Sanat Öğretim Üyesi
2310.1,Beden Eğitimi Ve Spor Öğretmenliği Öğretim Üyesi
2310.11,Besin Analizleri Öğretim Üyesi
2310.12,Beşeri Ve İktisadi Coğrafya Öğretim Üyesi
2310.13,Bilgi Ve Belge Yönetimi Öğretim Üyesi
2310.14,Bilgisayar Bilimleri Öğretim Üyesi
2310.15,Bilgisayar Destekli Tasarım Öğretim Üyesi
2310.16,Bilgisayar Donanımı Eğitimi Öğretim Üyesi
2310.17,Bilgisayar Donanımı Öğretim Üyesi
2310.18,Bilgisayar Kontrol-Kumanda Sistemleri Eğitimi Öğretim Üyesi
2310.19,Bilgisayar Mühendisliği Öğretim Üyesi
2310.2,Bilgisayar Yazılım Eğitimi Öğretim Üyesi
2310.21,Bilgisayar Yazılımı Öğretim Üyesi
2310.22,Bilgisayarlı Eğitim Teknolojisi Öğretim Üyesi
2310.23,Bilim Tarihi Öğretim Üyesi
2310.24,Bina Bilgisi Öğretim Üyesi
2310.25,Biyokimya Öğretim Üyesi
2310.26,Biyoloji Öğretim Üyesi
2310.27,Biyoteknoloji Öğretim Üyesi
2310.28,Bizans Sanatı Öğretim Üyesi
2310.29,Botanik Öğretim Üyesi
2310.3,Bölgesel Coğrafya Öğretim Üyesi
2310.31,Bulgar Dili Ve Edebiyatı Öğretim Üyesi
2310.32,Coğrafi Bilgi Sistemleri (Kamu Ölçmeleri) Öğretim Üyesi
2310.33,Coğrafya Öğretim Üyesi
2310.34,Çağdaş Yunan Dili Ve Edebiyatı Öğretim Üyesi
2310.35,Çevre Bilimleri Öğretim Üyesi
2310.36,Çevre Mühendisliği Öğretim Üyesi
2310.37,Çevre Teknolojisi Öğretim Üyesi
2310.38,Çocuk Gelişimi Ve Eğitimi Öğretim Üyesi
2310.39,Deneysel Psikoloji Öğretim Üyesi
2310.4,Deniz Ulaştırma İşletme Mühendisliği Öğretim Üyesi
2310.41,Devreler Ve Sistemler Öğretim Üyesi
2310.42,Diğer Üniversite Ve Yüksek Okul Öğretim Üyeleri
2310.43,Dil Ve Edebiyat Öğretim Üyesi
2310.44,Dilbilim Öğretim Üyesi
2310.45,Diş Hastalıkları Ve Tedavisi Öğretim Üyesi
2310.46,Eczacılık İşletmeciliği Öğretim Üyesi
2310.47,Eczacılık Temel Bilimleri Öğretim Üyesi
2310.48,Öğretim Görevlisi
2310.49,Ekoloji Öğretim Üyesi
2310.5,Ekonomi Ve Ticaret Öğretim Üyesi
2310.51,Elektrik Elektronik Ve Telekomünikasyon Öğretim Üyesi
2310.52,Elektrik Makinaları Öğretim Üyesi
2310.53,Elektrik Öğretim Üyesi
2310.54,Elektrik Tesisleri Öğretim Üyesi
2310.55,Elektrik-Elektronik Mühendisliği Öğretim Üyesi
2310.56,Elektromanyetik Alanlar Ve Mikrodalga Tekniği Öğretim Üyesi
2310.57,Elektronik Öğretim Üyesi
2310.58,Elektronik Ve Haberleşme Mühendisliği Öğretim Üyesi
2310.59,Endodonti Öğretim Üyesi
2310.6,Endüstri İlişkileri Öğretim Üyesi
2310.61,Endüstri Mühendisliği Öğretim Üyesi
2310.62,Endüstriyel Sanatlar Öğretim Üyesi
2310.63,Enerji Öğretim Üyesi
2310.64,Enerji Ve Ulaşım Teknolojisi Öğretim Üyesi
2310.65,Ermeni Dili Ve Edebiyatı Öğretim Üyesi
2310.66,Eskiçağ Tarihi Öğretim Üyesi
2310.67,Etnoloji Öğretim Üyesi
2310.68,Farmakognozi Öğretim Üyesi
2310.69,Farmakoloji Öğretim Üyesi
2310.7,Farmasötik Biyoteknoloji Öğretim Üyesi
2310.71,Farmasötik Botanik Öğretim Üyesi
2310.72,Farmasötik Kimya Öğretim Üyesi
2310.73,Farmasötik Mikrobiyoloji Öğretim Üyesi
2310.74,Farmasötik Teknoloji Öğretim Üyesi
2310.75,Farmasötik Toksikoloji Öğretim Üyesi
2310.76,Farmasötik Ve Medisinal Kimya Öğretim Üyesi
2310.77,Fars Dili Ve Edebiyatı Öğretim Üyesi
2310.78,Felsefe Öğretim Üyesi
2310.79,Felsefe Tarihi Öğretim Üyesi
2310.8,Fizik (Biyolojik) Antropoloji Öğretim Üyesi
2310.81,Fizik Bilimi Öğretim Üyesi
2310.82,Fiziki Coğrafya Öğretim Üyesi
2310.83,Fotogrametri Öğretim Üyesi
2310.84,Fransız Dili Ve Edebiyatı Öğretim Üyesi
2310.85,Gelişim Psikolojisi Öğretim Üyesi
2310.86,Gemi Makineleri İşletme Mühendisliği Öğretim Üyesi
2310.87,Gemi Yönetimi Mühendisliği Öğretim Üyesi
2310.88,Genel Biyoloji Öğretim Üyesi
2310.89,Genel Dilbilim Öğretim Üyesi
2310.9,Genel Jeoloji Öğretim Üyesi
2310.91,Genel Sosyoloji Ve Metodoloji Öğretim Üyesi
2310.92,Genel Türk Tarihi Öğretim Üyesi
2310.93,Geoteknik Öğretim Üyesi
2310.94,Güney-Batı (oğuz) Türk Lehçeleri Ve Edebiyatları Öğretim Üyesi
2310.95,Güney-Doğu (türkistan-Uygur) Türk Lehçeleri Ve Edebiyatları Öğretim Üyesi
2310.96,Halkbilimi Öğretim Üyesi
2310.97,Hayati Ve Tıbbi Bilimler Öğretim Üyesi
2310.98,Hidrobiyoloji Öğretim Üyesi
2310.99,Hidrolik Öğretim Üyesi
2311,Hidromekanik Ve Hidrolik Makinalar Öğretim Üyesi
2311.01,Hindoloji Öğretim Üyesi
2311.02,Hititoloji Öğretim Üyesi
2311.03,Hollanda Dili Ve Edebiyatı Öğretim Üyesi
2311.04,Hukuk İlmi Öğretim Üyesi
2311.05,Hungaroloji Öğretim Üyesi
2311.06,İktisat Öğretim Üyesi
2311.07,İngiliz Dili Ve Edebiyatı Öğretim Üyesi
2311.08,İnşaat Mühendisliği Öğretim Üyesi
2311.09,İspanyol Dili Ve Edebiyatı Öğretim Üyesi
2311.1,İtalyan Dili Ve Edebiyatı Öğretim Üyesi
2311.11,Japon Dili Ve Edebiyatı Öğretim Üyesi
2311.12,Jeodezi Öğretim Üyesi
2311.13,Jeodezi Ve Fotogrametri (Harita Ve Kadastro) Mühendisliği Öğretim Üyesi
2311.14,Jeoloji Mühendisliği Öğretim Üyesi
2311.15,Kamu Yönetimi Öğretim Üyesi
2311.16,Kartoğrafya Öğretim Üyesi
2311.17,Kimya Mühendisliği Öğretim Üyesi
2311.18,Kimyasal Teknolojiler Öğretim Üyesi
2311.19,Klasik Arkeoloji Öğretim Üyesi
2311.2,Klinik (Uygulamalı) Psikoloji Öğretim Üyesi
2311.21,Kompozisyon Ve Orkestra Şefliği Ana Sanat Dalı Öğretim Üyesi
2311.22,Konstrüksiyon Ve İmalat Öğretim Üyesi
2311.23,Kontrol Ve Kumanda Sistemleri Öğretim Üyesi
2311.24,Kore Dili Ve Edebiyatı Öğretim Üyesi
2311.25,Kumanda Ve Kontrol Sistemleri Öğretim Üyesi
2311.26,Kurumlar Sosyolojisi Öğretim Üyesi
2311.27,Kuzey-Batı (Kıpçak) Türk Lehçeleri Ve Edebiyatları Öğretim Üyesi
2311.28,"Kuzey-Doğu (saha (Yakut) , Tuva, Hakas, Altay) Türk Lehçeleri Ve Edebiyatları Öğretim Üyesi"
2311.29,Latin Dili Ve Edebiyatı Öğretim Üyesi
2311.3,Leh Dili Ve Edebiyatı Öğretim Üyesi
2311.31,Maden Mühendisliği Öğretim Üyesi
2311.32,Maden Yatakları Ve Jeokimya Öğretim Üyesi
2311.33,Makine Mühendisliği Öğretim Üyesi
2311.34,Makine Malzemesi Ve İmalat Teknolojisi Öğretim Üyesi
2311.35,Makine Teorisi Sistem Dinamiği Öğretim Üyesi
2311.36,Malzeme Ve Üretim Teknolojisi Öğretim Üyesi
2311.37,Matematik Öğretim Üyesi
2311.38,Mekanik (İnşaat Mühendisliği) Öğretim Üyesi
2311.39,Mekanik (Makina Mühendisliği) Öğretim Üyesi
2311.4,Mimarlık Öğretim Üyesi
2311.41,Mimarlık Tarihi Öğretim Üyesi
2311.42,Mineraloji Ve Petrografi Öğretim Üyesi
2311.43,Moleküler Biyoloji Öğretim Üyesi
2311.44,Mühendislik Ve Mimarı Öğretim Üyesi
2311.45,Nükleer Mühendisliği Öğretim Üyesi
2311.46,Okutman (Almanca)
2311.47,Okutman (Fransızca)
2311.48,Okutman (İngilizce)
2311.49,Okutman (Atatürk İlkeleri Ve İnkılap Tarihi)
2311.5,Okutman (Türk Dili)
2311.51,Opera Sanat Dalı Öğretim Üyesi
2311.52,Oral Diagnoz Ve Radyoloji Öğretim Üyesi
2311.53,Ortaçağ Tarihi Öğretim Üyesi
2311.54,Ortodonti Öğretim Üyesi
2311.55,Osmanlı Medeniyeti Ve Müesseseleri Tarihi Öğretim Üyesi
2311.56,Otomotiv Mühendisliği Öğretim Üyesi
2311.57,Öğretim Üyesi (Dişçilik)
2311.58,Ölçme Tekniği Öğretim Üyesi
2311.59,Paleoantropoloji Öğretim Üyesi
2311.6,Pedodonti Öğretim Üyesi
2311.61,Periodontoloji Öğretim Üyesi
2311.62,Piyano Sanat Dalı Öğretim Üyesi
2311.63,Prehistorya Öğretim Üyesi
2311.64,Prehistorya Ve Önasya Arkeolojisi Öğretim Üyesi
2311.65,Proses Ve Reaktör Tasarımı Öğretim Üyesi
2311.66,Protetik Diş Tedavisi Öğretim Üyesi
2311.67,Psikoloji Öğretim Görevlisi
2311.68,Radyofarmasi Öğretim Üyesi
2311.69,Restorasyon Öğretim Üyesi
2311.7,Romen Dili Ve Edebiyatı Öğretim Üyesi
2311.71,Rus Dili Ve Edebiyatı Öğretim Üyesi
2311.72,Sanat Tarihi Öğretim Üyesi
2311.73,Sinoloji Öğretim Üyesi
2311.74,Sistematik Felsefe Ve Mantık Öğretim Üyesi
2311.75,Sosyal (Kültürel) Antropoloji Öğretim Üyesi
2311.76,Sosyal Psikoloji Öğretim Üyesi
2311.77,Sosyoloji Öğretim Üyesi
2311.78,Spor Yönetimi Öğretim Üyesi
2311.79,Su Altı Arkeolojisi Öğretim Üyesi
2311.8,Sumeroloji Öğretim Üyesi
2311.81,Tarih Öğretim Üyesi
2311.82,"Tarih, Felsefe, Sosyoloji Ve İlgili Sosyal Bilimler Öğretim Üyesi"
2311.83,Telekomünikasyon Öğretim Üyesi
2311.84,Temel İşlemler Öğretim Üyesi
2311.85,Termodinamik Ve Enerji Öğretim Üyesi
2311.86,Termodinamik Ve Isı Tekniği Öğretim Üyesi
2311.87,Tıbbi Tedavi Ve Yüksek Hemşirelik Okulu Öğretim Üyesi
2311.88,Toplumsal Yapı Ve Değişme Öğretim Üyesi
2311.89,Türk Dili Ve Edebiyatı Öğretim Üyesi
2311.9,Türk Ve İslam Sanatı Öğretim Üyesi
2311.91,Türkiye Coğrafyası Öğretim Üyesi
2311.92,Türkiye Cumhuriyeti Tarihi Öğretim Üyesi
2311.93,Ulaştırma Mühendisliği Öğretim Üyesi
2311.94,Uluslararası İlişkiler Öğretim Üyesi
2311.95,Urdu Dili Ve Edebiyatı Öğretim Üyesi
2311.96,Uygulamalı Biyoloji Öğretim Üyesi
2311.97,Uygulamalı Dilbilim Öğretim Üyesi
2311.98,Uygulamalı Jeoloji Öğretim Üyesi
2311.99,Uygulamalı Sosyoloji Öğretim Üyesi
2312,Uzaktan Algılama Öğretim Üyesi
2312.01,Üflemeli Ve Vurmalı Çalgılar Sanat Dalı Öğretim Üyesi
2312.02,Yakınçağ Tarihi Öğretim Üyesi
