Source: https://www.bls.gov/soc/2018/home.htm - Direct match tile file,,,,
U.S. Bureau of Labor Statistics,,,,
On behalf of the Office of Management and Budget (OMB) and the Standard Occupational Classification Policy Committee (SOCPC),,,,
,,,,
"November 2017 (Updated April 15, 2020)",,,,
,,,,
***Questions should be emailed to soc@bls.gov***,,,,
,,,,
2018 SOC Code,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example,
51-4121,"Welders, Cutters, Solderers, and Brazers",Cutting Torch Operator,x,
51-4121,"Welders, Cutters, Solderers, and Brazers",Pipe Welder,x,
51-4121,"Welders, Cutters, Solderers, and Brazers",Silver Solderer,x,
51-4121,"Welders, Cutters, Solderers, and Brazers",Sub Arc Operator,,
51-4121,"Welders, Cutters, Solderers, and Brazers",Welder Fitter,,
51-4121,"Welders, Cutters, Solderers, and Brazers",Wire Welder,,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Brazing Machine Operator,,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Brazing Machine Setter and Setup Operator,,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Brazing Machine Tender,,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Electron Beam Welder Setter,x,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Machine Welder,,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Reserve Tube Welder,,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Soldering Machine Operator,,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Soldering Machine Setter and Setup Operator,,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Soldering Machine Tender,,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Ultrasonic Welding Machine Operator,x,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Welding Machine Operator,,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Annealing Furnace Operator,x,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Carburizing Furnace Operator,,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Flame Hardening Machine Setter,,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Heat Treater Apprentice,,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Heat Treating Furnace Tender,,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Induction Machine Setter,x,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Wire Annealer,,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Wire Temperer,x,
51-4192,"Layout Workers, Metal and Plastic",Shipfitter,,
51-4192,"Layout Workers, Metal and Plastic",Shipfitter Apprentice,x,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Anodizer,x,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Chrome Plater,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Chromium Plater,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Copper Plater,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Electro Plater,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Electrogalvanizing Machine Operator,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Electroplater,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Galvanizer,x,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Hard Chrome Plater,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Plater,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Spraying Machine Operator,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Metalizing Machine Operator,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Nickel Plater,x,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Plating Machine Operator,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Tin Plater,,
51-4194,"Tool Grinders, Filers, and Sharpeners",Tool Grinder,,
51-4194,"Tool Grinders, Filers, and Sharpeners",Tool Grinding Machine Operator,x,
51-4194,"Tool Grinders, Filers, and Sharpeners",Tool Sharpener,,
51-4194,"Tool Grinders, Filers, and Sharpeners",Tool Straightener,,
51-4199,"Metal Workers and Plastic Workers, All Other",Electrical Discharge Machine Setup Operator,x,
51-4199,"Metal Workers and Plastic Workers, All Other",Metal Rivet Machine Operator,x,
51-4199,"Metal Workers and Plastic Workers, All Other",Tin Recovery Worker,x,
51-5111,Prepress Technicians and Workers,Digital Proofing and Platemaker,x,
51-5111,Prepress Technicians and Workers,Electronic Pre-Press Technician,,
51-5111,Prepress Technicians and Workers,Photoengraver,x,
51-5111,Prepress Technicians and Workers,Plate Mounter,x,
51-5111,Prepress Technicians and Workers,Pre-Press Proofer,,
51-5111,Prepress Technicians and Workers,Prepress Stripper,,
51-5111,Prepress Technicians and Workers,Type Setter,,
51-5112,Printing Press Operators,Digital Press Operator,,
51-5112,Printing Press Operators,Flexographic Press Operator,,
51-5112,Printing Press Operators,Gravure Press Operator,x,
51-5112,Printing Press Operators,Lithograph Press Operator,,
51-5112,Printing Press Operators,Lithographing Machine Operator,,
51-5112,Printing Press Operators,Offset Lithographic Press Setter and Set-Up Operator,,
51-5112,Printing Press Operators,Offset Press Operator,x,
51-5112,Printing Press Operators,Printing Machine Operator,,
51-5112,Printing Press Operators,Screen Printing Machine Operator,,
51-5112,Printing Press Operators,Screen Printing Press Operator,,
51-5112,Printing Press Operators,Silk Screen Operator,,
51-5112,Printing Press Operators,Silk Screen Printer,,
51-5112,Printing Press Operators,Web Offset Press Feeder,,
51-5112,Printing Press Operators,Web Press Operator,x,
51-5113,Print Binding and Finishing Workers,Bindery Cutter Operator,,
51-5113,Print Binding and Finishing Workers,Bindery Folder Operator,,
51-5113,Print Binding and Finishing Workers,Bindery Machine Operator,,
51-5113,Print Binding and Finishing Workers,Bindery Worker,,
51-5113,Print Binding and Finishing Workers,Book Repairer,,
51-5113,Print Binding and Finishing Workers,Bookbinder,x,
51-5113,Print Binding and Finishing Workers,Bookbinding Machine Operator,x,
51-5113,Print Binding and Finishing Workers,Case Binder Operator,,
51-5113,Print Binding and Finishing Workers,Foil Stamp Operator,,
51-5113,Print Binding and Finishing Workers,Perfect Binder Operator,,
51-5113,Print Binding and Finishing Workers,Saddle Stitch Operator,,
51-5113,Print Binding and Finishing Workers,Saddle Stitcher Operator,,
51-5113,Print Binding and Finishing Workers,Spiral Binder Operator,,
51-6011,Laundry and Dry-Cleaning Workers,Drycleaner,,
51-6011,Laundry and Dry-Cleaning Workers,Launderer,,
51-6011,Laundry and Dry-Cleaning Workers,Laundress,,
51-6011,Laundry and Dry-Cleaning Workers,Laundry Attendant,x,
51-6011,Laundry and Dry-Cleaning Workers,Laundry Equipment Operator,x,
51-6011,Laundry and Dry-Cleaning Workers,Laundry Operator,,
51-6011,Laundry and Dry-Cleaning Workers,Laundry Sorter,x,
51-6011,Laundry and Dry-Cleaning Workers,Laundry Worker,,
51-6011,Laundry and Dry-Cleaning Workers,Precision Dyer,,
51-6021,"Pressers, Textile, Garment, and Related Materials",Clothes Ironer,x,
51-6021,"Pressers, Textile, Garment, and Related Materials",Clothes Presser,,
51-6021,"Pressers, Textile, Garment, and Related Materials",Clothing Presser,,
51-6021,"Pressers, Textile, Garment, and Related Materials",Garment Presser,,
51-6021,"Pressers, Textile, Garment, and Related Materials",Pants Presser,x,
51-6021,"Pressers, Textile, Garment, and Related Materials",Shirt Presser,,
51-6021,"Pressers, Textile, Garment, and Related Materials",Silk Presser,,
51-6021,"Pressers, Textile, Garment, and Related Materials",Wool Presser,x,
51-6031,Sewing Machine Operators,Blind Stitch Machine Operator,x,
51-6031,Sewing Machine Operators,Button Sewing Machine Operator,x,
51-6031,Sewing Machine Operators,Carpet Sewing Machine Operator,,
51-6031,Sewing Machine Operators,Custom T-Shirt Embroidery Machine Operator,x,
51-6031,Sewing Machine Operators,Embroidery Machine Operator,,
51-6031,Sewing Machine Operators,Hemming and Tacking Machine Operator,,
51-6031,Sewing Machine Operators,Ultrasonic Seaming Machine Operator,,
51-6041,Shoe and Leather Workers and Repairers,Cobbler,x,
51-6041,Shoe and Leather Workers and Repairers,Leather Lacer,,
51-6041,Shoe and Leather Workers and Repairers,Leather Worker,,
51-6041,Shoe and Leather Workers and Repairers,Luggage Repairer,,
51-6041,Shoe and Leather Workers and Repairers,Saddle and Harness Maker,,
51-6041,Shoe and Leather Workers and Repairers,Saddle Maker,x,
51-6041,Shoe and Leather Workers and Repairers,Shoe Maker,,
51-6041,Shoe and Leather Workers and Repairers,Shoe Repairer,x,
51-6041,Shoe and Leather Workers and Repairers,Shoemaker,x,
51-6042,Shoe Machine Operators and Tenders,Arch Cushion Press Operator,x,
51-6042,Shoe Machine Operators and Tenders,Insole Beveler,,
51-6042,Shoe Machine Operators and Tenders,Lacing Operator,,
51-6042,Shoe Machine Operators and Tenders,Lasting Machine Operator,x,
51-6042,Shoe Machine Operators and Tenders,Pump Stitcher,,
51-6042,Shoe Machine Operators and Tenders,Rasper Machine Operator,x,
51-6042,Shoe Machine Operators and Tenders,Shoe Cementer,,
51-6042,Shoe Machine Operators and Tenders,Shoe Sewing Machine Operator and Tender,,
51-6042,Shoe Machine Operators and Tenders,Sole Trimmer,,
51-6051,"Sewers, Hand",Hand Quilter,x,
51-6051,"Sewers, Hand",Hand Sewer,,
51-6051,"Sewers, Hand",Hand Stitcher,x,
51-6051,"Sewers, Hand",Hand Weaver,,
51-6052,"Tailors, Dressmakers, and Custom Sewers",Alterations Sewer,,
51-6052,"Tailors, Dressmakers, and Custom Sewers",Alterations Tailor,x,
51-6052,"Tailors, Dressmakers, and Custom Sewers",Bridal Gown Fitter,,
51-6052,"Tailors, Dressmakers, and Custom Sewers",Coat Cutter,,
51-6052,"Tailors, Dressmakers, and Custom Sewers",Coat Maker,x,
51-6052,"Tailors, Dressmakers, and Custom Sewers",Couture Dressmaker,,
51-6052,"Tailors, Dressmakers, and Custom Sewers",Dress Fitter,,
51-6052,"Tailors, Dressmakers, and Custom Sewers",Fur Tailor,,
51-6052,"Tailors, Dressmakers, and Custom Sewers",Garment Fitter,,
51-6052,"Tailors, Dressmakers, and Custom Sewers",Suit Maker,,
51-6052,"Tailors, Dressmakers, and Custom Sewers",Vest Maker,x,
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Cloth Dyer,x,
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Dye Range Operator,,
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Rug Dyer,x,
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Skein Yarn Dyer,x,
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Yarn Dyer,,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",Bedspread Cutter,,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",Canvas Cutter,x,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",Cloth Cutter,,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",Industrial Fabric Cutter,x,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",Textile Slitting Machine Operator,,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",Twill Cutter,,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",Upholstery Cutter,,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",Welt Trimming Machine Operator,x,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Crochet Machine Operator,x,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Jacquard Loom Weaver,x,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Knitter Operator,,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Knitting Machine Operator,,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Loom Operator,,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Looping Machine Operator,x,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Warp Knitting Machine Operator,,
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Rope Machine Setter,x,
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Roving Winder,,
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Silk Winding Machine Operator,x,
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Twister Operator,,
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Winder Operator,,
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Drawbench Operator,,
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Fiber Machine Tender,x,
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Synthetic Filament Extruder,x,
51-6092,Fabric and Apparel Patternmakers,Clothing Patternmaker,x,
51-6092,Fabric and Apparel Patternmakers,Embroidery Patternmaker,x,
51-6092,Fabric and Apparel Patternmakers,Fabric Pattern Grader,x,
51-6093,Upholsterers,Aircraft Seat Upholsterer,x,
51-6093,Upholsterers,Auto Upholsterer,,
51-6093,Upholsterers,Chair Upholsterer,,
51-6093,Upholsterers,Dining Chair Seat Cushion Trimmer,,
51-6093,Upholsterers,Furniture Upholsterer,x,
51-6093,Upholsterers,Seating Upholsterer,,
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",Apparel Embroidery Digitizer,x,
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",Feltmaker,x,
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",Hat Blocking Machine Operator,x,
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",Swatch Maker,,
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",Tassel Making Machine Operator,,
51-7011,Cabinetmakers and Bench Carpenters,Cabinet Builder,x,
51-7011,Cabinetmakers and Bench Carpenters,Cabinetmaker,,
51-7011,Cabinetmakers and Bench Carpenters,Marquetry Worker,x,
51-7011,Cabinetmakers and Bench Carpenters,Wood Furniture Assembler,x,
51-7011,Cabinetmakers and Bench Carpenters,Wood Working Assembler,,
51-7021,Furniture Finishers,Cabinet Finisher,,
51-7021,Furniture Finishers,Furniture Refinisher,,
51-7021,Furniture Finishers,Furniture Sander,x,
51-7021,Furniture Finishers,Piano Refinisher,x,
51-7021,Furniture Finishers,Wood Cabinet Finisher,x,
51-7031,"Model Makers, Wood",Architectural Wood Model Maker,x,
51-7032,"Patternmakers, Wood",Wood Die Maker,x,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Backup Sawyer,,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Band Scroll Saw Operator,,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Bandmill Operator,,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Buzzsaw Operator,x,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Chop Saw Operator,,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Circle Saw Operator,x,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Curve Saw Operator,,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Cut Off Saw Operator,,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Hardwood Sawyer,,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Headrig Sawyer,,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Panel Saw Operator,,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Rip Saw Operator,x,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Stave Saw Operator,,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Trim Saw Operator,x,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Computer Numerically Controlled (CNC) Wood Lathe Operator,,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Roof Truss Builder,,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Speed Belt Sander,,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Tenon Operator,,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Wood Boring Machine Operator,,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Wood Dowel Machine Operator,x,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Wood Lathe Operator,x,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Wood Planer,x,
51-7099,"Woodworkers, All Other",Pole Framer,x,
51-7099,"Woodworkers, All Other",Timber Framer,,
51-7099,"Woodworkers, All Other",Wood Carver,x,
51-7099,"Woodworkers, All Other",Wood Casket Assembler,x,
51-7099,"Woodworkers, All Other",Wood Veneer Taper,,
51-8011,Nuclear Power Reactor Operators,Nuclear Control Room Operator,x,
51-8011,Nuclear Power Reactor Operators,Nuclear Reactor Operator,x,
51-8011,Nuclear Power Reactor Operators,Nuclear Station Operator,x,
51-8011,Nuclear Power Reactor Operators,Reactor Operator,,
51-8012,Power Distributors and Dispatchers,Power System Dispatcher,,
51-8012,Power Distributors and Dispatchers,Steam and Power Panel Operator,,
51-8012,Power Distributors and Dispatchers,Steam Plant Control Room Operator,x,
51-8012,Power Distributors and Dispatchers,Substation Operator,x,
51-8013,Power Plant Operators,Hydroelectric Plant Operator,x,
51-8013,Power Plant Operators,Power Plant Control Room Operator,,
51-8013,Power Plant Operators,Powerhouse Operator,x,
51-8013,Power Plant Operators,Turbine Room Attendant,,
51-8021,Stationary Engineers and Boiler Operators,Boiler Engineer,x,
51-8021,Stationary Engineers and Boiler Operators,Boiler Operator,,
51-8021,Stationary Engineers and Boiler Operators,Boiler Plant Operator,,
51-8021,Stationary Engineers and Boiler Operators,Boiler Room Operator,x,
51-8021,Stationary Engineers and Boiler Operators,"Heating, Ventilation, and Air Conditioning (HVAC) Mechanic Boiler Operator",x,
51-8021,Stationary Engineers and Boiler Operators,High Pressure Boiler Operator,,
51-8031,Water and Wastewater Treatment Plant and System Operators,Industrial Waste Treatment Technician,,
51-8031,Water and Wastewater Treatment Plant and System Operators,Lead Sewage Plant Operator,,
51-8031,Water and Wastewater Treatment Plant and System Operators,Liquid Waste Treatment Plant Operator,x,
51-8031,Water and Wastewater Treatment Plant and System Operators,Sewage Plant Operator,x,
51-8031,Water and Wastewater Treatment Plant and System Operators,Waste Treatment Operator,,
51-8031,Water and Wastewater Treatment Plant and System Operators,Wastewater Operator,,
51-8031,Water and Wastewater Treatment Plant and System Operators,Water Plant Operator,,
51-8031,Water and Wastewater Treatment Plant and System Operators,Water Treatment Technician,,
51-8091,Chemical Plant and System Operators,Chemical Plant Operator,,
51-8091,Chemical Plant and System Operators,Chemical Treatment Plant Technician,,
51-8091,Chemical Plant and System Operators,Nitric Acid Plant Operator,x,
51-8091,Chemical Plant and System Operators,Nitrogen Operator,,
51-8091,Chemical Plant and System Operators,Pharmaceutical Manufacturing Machine Operator,x,
51-8092,Gas Plant Operators,Gas Controller,x,
51-8092,Gas Plant Operators,Gas Plant Dispatcher,x,
51-8092,Gas Plant Operators,Gas Plant Technician,,
51-8092,Gas Plant Operators,Natural Gas Plant Technician,,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Hydrotreater Operator,x,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Oil Gauger,,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Oil Pipeline Dispatcher,,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Oil Pipeline Operator,x,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Oil Refiner,x,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Petroleum Plant Operator,,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Petroleum Refinery Control Panel Operator,,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Petroleum Refinery Operator,,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Petroleum Refining Equipment Operator,,
51-8099,"Plant and System Operators, All Other",Asphalt Plant Operator,x,
51-8099,"Plant and System Operators, All Other",Concrete Batch Plant Operator,x,
51-8099,"Plant and System Operators, All Other",Lime Filter Operator,x,
51-8099,"Plant and System Operators, All Other",Sand Plant Attendant,,
51-9011,Chemical Equipment Operators and Tenders,Acid Purification Equipment Operator,x,
51-9011,Chemical Equipment Operators and Tenders,Chemical Machine Tender,,
51-9011,Chemical Equipment Operators and Tenders,Chemical Process Equipment Operator,x,
51-9011,Chemical Equipment Operators and Tenders,Chemical Processor,,
51-9011,Chemical Equipment Operators and Tenders,Chemical Treatment Operator,,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Brewmaster,x,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Fermentation Operator,x,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Fermenter,,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Linseed Oil Temperer,,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Milk Pasteurizer,,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Milk Processor,,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Molasses Preparer,,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Pasteurizer,x,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Winemaker,,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Beveling and Edging Machine Operator,x,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Beveller Operator,,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Blanchard Grinder Operator,,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Crusher Plant Operator,,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Cullet Crusher and Washer,,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Industrial Coffee Grinder,x,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Marble and Granite Polisher,x,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Mix Crusher Operator,,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Pulverizer Operator,x,
51-9022,"Grinding and Polishing Workers, Hand",Hand Buffer,x,
51-9022,"Grinding and Polishing Workers, Hand",Hand Sander,x,
51-9022,"Grinding and Polishing Workers, Hand",Jewelry Grinder,,
51-9022,"Grinding and Polishing Workers, Hand",Jewelry Polisher,x,
51-9022,"Grinding and Polishing Workers, Hand",Knife Grinder,x,
51-9022,"Grinding and Polishing Workers, Hand",Ring Polisher,,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",Asphalt Blender,x,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",Clay Mixer,x,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",Concrete Batcher,,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",Dye Mixer,,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",Glue Mixer,,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",Ink Blender,x,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",Ink Mixer,,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",Plaster Mixer,,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",Resin Mixer,,
51-9031,"Cutters and Trimmers, Hand",Fur Trimmer,x,
51-9031,"Cutters and Trimmers, Hand",Hand Cloth Cutter,x,
51-9031,"Cutters and Trimmers, Hand",Hand Fabric Cutter,,
51-9031,"Cutters and Trimmers, Hand",Portable Machine Cutter,,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",Dog Food Shredder Operator,,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",Glass Cutting Machine Operator,x,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",Insulation Cutter,x,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",Paper Cutter,,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",Paper Slitter,,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",Rubber Trimmer,x,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",Shearing Machine Tender,,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",Trimming Operator,,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Bowling Ball Molder,,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Brick Maker,x,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Cigarette Stamper,,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Extrusion Press Operator,,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Paper Baling Machine Operator,,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Rubber Extrusion Operator,x,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Sugar Presser,x,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Tuber Operator,,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Calciner Operator,,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Dry Kiln Operator,,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Induction Furnace Operator,,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Lime Kiln Operator,x,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Lumber Kiln Operator,x,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Rubber Curer,x,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Soap Drier Tender,,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Tunnel Kiln Operator,,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Ampoule Examiner,,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Bag Grader,,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Cigarette Examiner,,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Compressed Gas Tester,,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Machined Parts Quality Inspector,x,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Petroleum Sampler,x,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Quality Assurance Inspector,,
